run,window_end,reward,entropy,grad_norm,sample/staleness_mean,sample/staleness_max,tools/call_frequency,tools/failure_frequency,batch/forwarded_tokens_per_step,batch/trained_tokens_per_step,perf/step_s,rollout/samples_per_rollout,completions/mean_length,clip_ratio/region_mean,kl
Harbor multi-harness,300,0.3078947098658278,0.2556433835762293,1.98423828125,1.5767619047619048,1.82,16.205064360533626,0.19417233135332557,1011039.79,13321.56,89.43567845421029,5.542150281280716,2981.8417820705863,0.004483454293340759,0.0031596616756331096
Harbor multi-harness,400,0.4208965591133613,0.2602957298295186,1.326943359375,1.2613214285714285,1.79,16.046035668255467,0.16542645323759192,846056.46,13088.56,91.19121140880044,4.856035923141186,2405.253268588137,0.0027571686920980134,0.00267292184568319
Harbor multi-harness,500,0.32965815112938374,0.3421668481281644,1.8252734375,1.516702380952381,1.93,15.979141145963936,0.20272489386589615,901662.68,18027.61,87.1897372502496,4.957356076759062,3658.3221304193316,0.003900711896447942,0.002308183441914882
Harbor multi-harness,600,0.42514402674199275,0.31104822814197736,2.1425537109375,1.474047619047619,1.85,14.885919789409268,0.14239050757746663,856778.72,16848.72,83.39630996603984,4.903295376121463,3503.119858523119,0.005506542724431796,0.0024274147227585107
Harbor multi-harness,700,0.43366307997193104,0.34037941961742574,2.196533203125,1.6215357142857143,1.85,14.809511820629087,0.13326109980800552,863768.0,16684.84,87.71859020842334,4.441551397320628,3437.0248391352234,0.004985732428707765,0.0028271833525996036
Harbor multi-harness,800,0.35281411250347294,0.2978964158105625,1.893984375,1.555404761904762,1.86,14.598113697768602,0.12470995081799482,877259.83,17712.24,92.73759917171206,4.7138252270605205,3910.5884460514976,0.004122921543132058,0.0021502267781378782
Harbor multi-harness,900,0.35901134931123724,0.3623014800418172,1.49798828125,1.5702738095238096,2.04,14.18688828568166,0.1429223534360349,983767.3,42312.41,115.72125592437573,4.824875798804371,9480.489273345702,0.0035995473452451092,0.0015889896107803862
Harbor multi-harness,1000,0.41036747714576377,0.32723013623204006,1.3534666442871093,1.5440833333333333,1.96,12.230913871451857,0.12421673095427341,785191.97,45977.62,125.29679813764058,4.37483839689722,10657.320653243816,0.003878371968903037,0.001586671160716524
Native OpenCode,100,0.4384733044733045,0.17068306005160314,4.484921875,2.1381666666666668,2.38,6.595128038628038,0.1250655540736819,289729.01,4124.31,31.587826412050504,2.435050366300366,1097.8185752705149,0.004409961396235686,0.008285643573207067
Native OpenCode,200,0.20371825396825397,0.18744950996944607,2.21181640625,1.7630238095238095,2.36,7.46128434065934,0.21892108315969483,309387.28,5389.35,50.66147141980001,1.9196230158730159,1262.6713690476192,0.0007772616376360563,0.003431557870288053
Native OpenCode,300,0.2764642857142857,0.17872697230910006,2.28291015625,1.7443214285714286,2.11,8.043817460317461,0.24209013075995742,238082.76,7440.0,51.83079009951,1.9301722582972582,1646.2756998557,0.002291983241470562,0.006575444186290422
Native OpenCode,400,0.17345833333333333,0.19328260360224725,1.5931640625,1.2819761904761904,1.71,8.150039682539681,0.23606811371498868,144161.98,7944.17,41.88394934417998,1.8108134920634922,1482.5227237654321,0.0031121111611040002,0.004288135047909705
Native OpenCode,500,0.262,0.15426974010064506,1.8798828125,1.4659166666666668,1.88,7.858011904761904,0.23863880565256199,132934.39,5967.65,36.184499155539996,1.8871507280598188,1167.200844483799,0.002459962850667994,0.003597480714192069
Native OpenCode,600,0.12442532467532467,0.14728269294145113,2.8753125,1.8172857142857142,2.21,7.764659241575418,0.2731742470870204,198053.02,4475.92,33.34266252039001,2.6837919594067134,1031.9630171740828,0.002019672447124215,0.0032964696410401496
Native OpenCode,700,0.31109498834498833,0.10232620991616216,4.194765625,1.9360238095238094,2.33,6.122058441558441,0.26768672319235504,155423.22,4478.81,27.225210022760002,1.9953385065227172,972.7612516869096,0.001808775189040755,0.001616135894910377
Native OpenCode,800,0.27081349206349203,0.10113436551513161,2.444013671875,1.7724761904761905,2.31,5.850321428571428,0.23879520652958153,161911.47,4394.98,26.7776295466,1.9387019230769231,1022.0012019230769,0.000773144740999812,0.0009989796439796794
Native OpenCode,900,0.3780271534021534,0.12660436471971986,2.2771875,1.7313571428571428,2.38,5.842643134643135,0.24723269360709835,225035.93,4737.36,30.724514038079977,2.0432350982350984,1192.0391753700844,0.000942620709915634,0.0011704037453183133
Native OpenCode,1000,0.18717783882783884,0.14192835536074921,1.9496484375,2.1566666666666667,2.25,6.7947657674487445,0.28285419085527297,429411.77,4319.72,32.92978656568004,4.616029456654457,1564.7171581673535,0.0009637467219425069,0.0021438640694901962
