run,step,cells,score,model_calls,tool_calls,tool_calls_median,tool_calls_p90,repeats,repeat_fraction,repeat_rollout_fraction,short_tool_fraction,budget_fraction,python_fraction,answer_path_fraction,tool_error_text_fraction,submission_fraction,submission_observations,trainable_tokens,wall_s,retry_cells,training_rows,packed_tokens
Harbor OpenCode-only,1000,1000,0.264,15.271,20.966,20.0,30.0,3.025,0.12659647516265488,0.766,0.0,0.702,0.945,0.562,0.712,0.4069767441860465,344,3403.287,293.54446,2,5.382,182515.884
Harbor multi-harness,0,1000,0.146,14.149,13.264,16.0,18.0,0.522,0.03575284067129578,0.285,0.066,0.602,0.779,0.38,0.618,0.4011627906976744,344,2721.986,273.92238000000003,11,4.122,143490.928
Harbor multi-harness,100,1000,0.248,16.341,15.938,17.0,17.0,2.769,0.1713903229938127,0.604,0.004,0.873,0.868,0.443,0.64,0.4680232558139535,344,2855.774,277.7602,44,5.013,184767.212
Harbor multi-harness,200,1000,0.263,16.598,16.138,17.0,17.0,3.057,0.1868986447575995,0.636,0.003,0.914,0.902,0.451,0.651,0.49127906976744184,344,2744.07,267.66835,76,5.043,179096.311
Harbor multi-harness,300,1000,0.286,16.397,15.987,17.0,17.0,3.646,0.2257868151714127,0.713,0.003,0.885,0.845,0.496,0.609,0.5203488372093024,344,2251.678,248.93432,29,4.977,174517.782
Harbor multi-harness,400,1000,0.333,16.604,16.153,17.0,17.0,3.587,0.21946066816310625,0.698,0.002,0.913,0.869,0.474,0.634,0.5232558139534884,344,2761.828,271.93884,44,5.045,185725.598
Harbor multi-harness,500,1000,0.37,16.061,15.582,16.0,17.0,3.464,0.2124553623921658,0.651,0.0,0.839,0.86,0.515,0.646,0.5494186046511628,344,2870.289,275.34286,65,5.094,184783.506
Harbor multi-harness,600,1000,0.318,16.054,15.451,16.0,17.0,3.508,0.21791239233332885,0.741,0.002,0.806,0.799,0.473,0.569,0.5203488372093024,344,3359.023,289.55251,83,5.158,187366.857
Harbor multi-harness,684,1000,0.321,15.593,15.009,16.0,17.0,3.92,0.2478296437781345,0.795,0.003,0.756,0.794,0.497,0.567,0.5319767441860465,344,2895.237,275.87375,65,5.003,194585.147
Harbor multi-harness,700,1000,0.288,15.441,14.897,16.0,17.0,3.674,0.23182913666570787,0.798,0.009,0.748,0.743,0.459,0.536,0.5,344,2947.094,273.19223,62,4.94,191219.959
Harbor multi-harness,800,1000,0.27,15.929,15.209,16.0,17.0,3.677,0.2331952162474608,0.842,0.009,0.759,0.741,0.365,0.512,0.39244186046511625,344,3730.791,325.84463,107,4.95,190314.026
Harbor multi-harness,900,1000,0.227,10.633,9.646,10.0,17.0,2.341,0.15756903361464808,0.489,0.252,0.392,0.554,0.319,0.369,0.34593023255813954,344,5306.9,323.67207,149,4.941,186258.408
Harbor multi-harness,1000,1000,0.263,10.12,9.018,9.0,17.0,2.204,0.16422693790987133,0.507,0.221,0.28,0.596,0.402,0.412,0.4127906976744186,344,5206.881,304.29470000000003,205,4.452,153613.721
Native OpenCode,0,1000,0.159,14.258,14.068,16.0,18.0,0.658,0.04315955169345195,0.35,0.008,0.62,0.829,0.413,0.659,0.4418604651162791,344,2655.455,259.36484,830,4.23,150697.117
Native OpenCode,100,1000,0.197,13.802,13.418,16.0,17.0,0.49,0.03143585735984547,0.289,0.006,0.579,0.917,0.488,0.686,0.5116279069767442,344,2845.774,134.06311,1,4.361,155000.771
Native OpenCode,200,1000,0.221,13.132,12.636,16.0,17.0,0.51,0.0332330306530513,0.257,0.004,0.528,0.948,0.549,0.709,0.5726744186046512,344,2571.95,127.30409,0,4.274,146781.013
Native OpenCode,300,1000,0.216,13.889,13.369,16.0,17.0,0.534,0.035410580252221116,0.309,0.001,0.598,0.959,0.47,0.722,0.45930232558139533,344,2847.512,127.70825,6,4.23,143617.756
Native OpenCode,400,1000,0.264,13.671,13.066,16.0,17.0,0.545,0.035270807864306315,0.298,0.001,0.568,0.965,0.513,0.738,0.5523255813953488,344,2786.585,119.62226,0,4.256,129501.653
Native OpenCode,500,1000,0.231,13.411,12.561,16.0,17.0,0.83,0.05693932569838142,0.354,0.005,0.543,0.97,0.507,0.686,0.5348837209302325,344,2463.056,125.81416,3,4.536,138071.582
Native OpenCode,600,1000,0.251,12.847,11.82,14.0,17.0,1.184,0.0825353855552772,0.418,0.008,0.482,0.954,0.581,0.662,0.5901162790697675,344,2473.208,121.3107,14,4.655,134171.096
Native OpenCode,700,1000,0.232,12.83,11.866,14.0,17.0,0.736,0.052030067820895996,0.335,0.009,0.509,0.969,0.604,0.673,0.5930232558139535,344,2390.413,120.96332000000001,0,4.277,130972.534
Native OpenCode,800,1000,0.256,12.585,11.721,14.0,17.0,0.414,0.029572952142456786,0.252,0.011,0.474,0.974,0.611,0.692,0.627906976744186,344,2801.693,124.11447,0,4.196,136308.872
Native OpenCode,900,1000,0.253,12.439,11.53,13.0,17.0,0.498,0.03663204338231428,0.277,0.023,0.459,0.953,0.597,0.675,0.6191860465116279,344,2755.981,122.3318,3,4.097,136371.959
Native OpenCode,1000,1000,0.298,12.857,11.968,13.0,17.0,0.772,0.06054240726164101,0.385,0.004,0.459,0.979,0.704,0.754,0.7122093023255814,344,2559.758,126.75898,0,6.893,185409.144
