run,step,harness,tool_call_bin,cells,score
Harbor OpenCode-only,400,mini-swe-agent,9–16,54,0.6666666666666666
Harbor OpenCode-only,400,mini-swe-agent,17–24,189,0.164021164021164
Harbor OpenCode-only,400,opencode,3–8,1,0.0
Harbor OpenCode-only,400,opencode,9–16,3,0.0
Harbor OpenCode-only,400,opencode,17–24,223,0.39461883408071746
Harbor OpenCode-only,400,opencode,25+,23,0.043478260869565216
Harbor OpenCode-only,500,claude-code,0–2,2,0.0
Harbor OpenCode-only,500,claude-code,3–8,18,0.6666666666666666
Harbor OpenCode-only,500,claude-code,9–16,45,0.6666666666666666
Harbor OpenCode-only,500,claude-code,17–24,182,0.21428571428571427
Harbor OpenCode-only,500,claude-code,25+,3,0.0
Harbor OpenCode-only,500,codex,3–8,15,0.6666666666666666
Harbor OpenCode-only,500,codex,9–16,31,0.7096774193548387
Harbor OpenCode-only,500,codex,17–24,197,0.30456852791878175
Harbor OpenCode-only,500,codex,25+,7,0.14285714285714285
Harbor OpenCode-only,500,mini-swe-agent,3–8,6,0.6666666666666666
Harbor OpenCode-only,500,mini-swe-agent,9–16,64,0.78125
Harbor OpenCode-only,500,mini-swe-agent,17–24,180,0.1111111111111111
Harbor OpenCode-only,500,opencode,3–8,4,0.0
Harbor OpenCode-only,500,opencode,9–16,3,0.0
Harbor OpenCode-only,500,opencode,17–24,233,0.34334763948497854
Harbor OpenCode-only,500,opencode,25+,10,0.2
Harbor OpenCode-only,600,claude-code,3–8,16,0.5625
Harbor OpenCode-only,600,claude-code,9–16,56,0.5178571428571429
Harbor OpenCode-only,600,claude-code,17–24,172,0.22674418604651161
Harbor OpenCode-only,600,claude-code,25+,6,0.16666666666666666
Harbor OpenCode-only,600,codex,3–8,12,0.6666666666666666
Harbor OpenCode-only,600,codex,9–16,37,0.6756756756756757
Harbor OpenCode-only,600,codex,17–24,190,0.2789473684210526
Harbor OpenCode-only,600,codex,25+,11,0.0
Harbor OpenCode-only,600,mini-swe-agent,3–8,10,0.9
Harbor OpenCode-only,600,mini-swe-agent,9–16,77,0.6883116883116883
Harbor OpenCode-only,600,mini-swe-agent,17–24,163,0.09202453987730061
Harbor OpenCode-only,600,opencode,3–8,3,0.0
Harbor OpenCode-only,600,opencode,9–16,8,0.5
Harbor OpenCode-only,600,opencode,17–24,227,0.3744493392070485
Harbor OpenCode-only,600,opencode,25+,12,0.0
Harbor OpenCode-only,700,claude-code,0–2,1,0.0
Harbor OpenCode-only,700,claude-code,3–8,42,0.6428571428571429
Harbor OpenCode-only,700,claude-code,9–16,89,0.7078651685393258
Harbor OpenCode-only,700,claude-code,17–24,111,0.22522522522522523
Harbor OpenCode-only,700,claude-code,25+,7,0.14285714285714285
Harbor OpenCode-only,700,codex,3–8,32,0.6875
Harbor OpenCode-only,700,codex,9–16,84,0.5833333333333334
Harbor OpenCode-only,700,codex,17–24,115,0.1826086956521739
Harbor OpenCode-only,700,codex,25+,19,0.05263157894736842
Harbor OpenCode-only,700,mini-swe-agent,3–8,8,0.875
Harbor OpenCode-only,700,mini-swe-agent,9–16,88,0.7045454545454546
Harbor OpenCode-only,700,mini-swe-agent,17–24,152,0.10526315789473684
Harbor OpenCode-only,700,mini-swe-agent,25+,2,0.5
Harbor OpenCode-only,700,opencode,3–8,2,0.0
Harbor OpenCode-only,700,opencode,9–16,62,0.6612903225806451
Harbor OpenCode-only,700,opencode,17–24,149,0.33557046979865773
Harbor OpenCode-only,700,opencode,25+,37,0.24324324324324326
Harbor OpenCode-only,800,claude-code,3–8,70,0.6142857142857143
Harbor OpenCode-only,800,claude-code,9–16,87,0.5057471264367817
Harbor OpenCode-only,800,claude-code,17–24,93,0.10752688172043011
Harbor OpenCode-only,800,codex,0–2,1,0.0
Harbor OpenCode-only,800,codex,3–8,27,0.5185185185185185
Harbor OpenCode-only,800,codex,9–16,110,0.5272727272727272
Harbor OpenCode-only,800,codex,17–24,109,0.1559633027522936
Harbor OpenCode-only,800,codex,25+,3,0.0
Harbor OpenCode-only,800,mini-swe-agent,3–8,5,0.8
Harbor OpenCode-only,800,mini-swe-agent,9–16,99,0.6565656565656566
Harbor OpenCode-only,800,mini-swe-agent,17–24,146,0.0684931506849315
Harbor OpenCode-only,800,opencode,0–2,10,0.0
Harbor OpenCode-only,800,opencode,3–8,34,0.11764705882352941
Harbor OpenCode-only,800,opencode,9–16,82,0.6219512195121951
Harbor OpenCode-only,800,opencode,17–24,124,0.08870967741935484
Harbor OpenCode-only,900,claude-code,0–2,1,0.0
Harbor OpenCode-only,900,claude-code,3–8,36,0.5555555555555556
Harbor OpenCode-only,900,claude-code,9–16,88,0.6590909090909091
Harbor OpenCode-only,900,claude-code,17–24,121,0.08264462809917356
Harbor OpenCode-only,900,claude-code,25+,4,0.0
Harbor OpenCode-only,900,codex,3–8,16,0.3125
Harbor OpenCode-only,900,codex,9–16,93,0.5376344086021505
Harbor OpenCode-only,900,codex,17–24,126,0.09523809523809523
Harbor OpenCode-only,900,codex,25+,15,0.06666666666666667
Harbor OpenCode-only,900,mini-swe-agent,3–8,2,1.0
Harbor OpenCode-only,900,mini-swe-agent,9–16,87,0.632183908045977
Harbor OpenCode-only,900,mini-swe-agent,17–24,160,0.05
Harbor OpenCode-only,900,mini-swe-agent,25+,1,0.0
Harbor OpenCode-only,900,opencode,3–8,25,0.0
Harbor OpenCode-only,900,opencode,9–16,47,0.6170212765957447
Harbor OpenCode-only,900,opencode,17–24,152,0.3026315789473684
Harbor OpenCode-only,900,opencode,25+,26,0.0
Harbor OpenCode-only,1000,claude-code,3–8,19,0.631578947368421
Harbor OpenCode-only,1000,claude-code,9–16,60,0.6666666666666666
Harbor OpenCode-only,1000,claude-code,17–24,129,0.18604651162790697
Harbor OpenCode-only,1000,claude-code,25+,42,0.023809523809523808
Harbor OpenCode-only,1000,codex,3–8,12,0.75
Harbor OpenCode-only,1000,codex,9–16,64,0.46875
Harbor OpenCode-only,1000,codex,17–24,115,0.30434782608695654
Harbor OpenCode-only,1000,codex,25+,59,0.11864406779661017
Harbor OpenCode-only,1000,mini-swe-agent,9–16,36,0.8055555555555556
Harbor OpenCode-only,1000,mini-swe-agent,17–24,189,0.10052910052910052
Harbor OpenCode-only,1000,mini-swe-agent,25+,25,0.12
Harbor OpenCode-only,1000,opencode,3–8,1,0.0
Harbor OpenCode-only,1000,opencode,9–16,19,0.631578947368421
Harbor OpenCode-only,1000,opencode,17–24,96,0.2916666666666667
Harbor OpenCode-only,1000,opencode,25+,134,0.11194029850746269
Harbor multi-harness,0,claude-code,0–2,8,0.25
Harbor multi-harness,0,claude-code,3–8,63,0.42857142857142855
Harbor multi-harness,0,claude-code,9–16,82,0.13414634146341464
Harbor multi-harness,0,claude-code,17–24,97,0.020618556701030927
Harbor multi-harness,0,codex,0–2,20,0.2
Harbor multi-harness,0,codex,3–8,33,0.48484848484848486
Harbor multi-harness,0,codex,9–16,54,0.24074074074074073
Harbor multi-harness,0,codex,17–24,137,0.058394160583941604
Harbor multi-harness,0,codex,25+,6,0.0
Harbor multi-harness,0,mini-swe-agent,0–2,10,0.2
Harbor multi-harness,0,mini-swe-agent,3–8,3,0.3333333333333333
Harbor multi-harness,0,mini-swe-agent,9–16,68,0.4411764705882353
Harbor multi-harness,0,mini-swe-agent,17–24,169,0.01775147928994083
Harbor multi-harness,0,opencode,0–2,28,0.14285714285714285
Harbor multi-harness,0,opencode,3–8,66,0.19696969696969696
Harbor multi-harness,0,opencode,9–16,112,0.08035714285714286
Harbor multi-harness,0,opencode,17–24,44,0.022727272727272728
Harbor multi-harness,100,claude-code,0–2,2,0.0
Harbor multi-harness,100,claude-code,3–8,9,0.1111111111111111
Harbor multi-harness,100,claude-code,9–16,104,0.27884615384615385
Harbor multi-harness,100,claude-code,17–24,135,0.28888888888888886
Harbor multi-harness,100,codex,3–8,5,0.4
Harbor multi-harness,100,codex,9–16,67,0.1791044776119403
Harbor multi-harness,100,codex,17–24,177,0.3163841807909605
Harbor multi-harness,100,codex,25+,1,0.0
Harbor multi-harness,100,mini-swe-agent,3–8,4,0.75
Harbor multi-harness,100,mini-swe-agent,9–16,63,0.5238095238095238
Harbor multi-harness,100,mini-swe-agent,17–24,183,0.06557377049180328
Harbor multi-harness,100,opencode,0–2,2,0.0
Harbor multi-harness,100,opencode,3–8,2,0.0
Harbor multi-harness,100,opencode,9–16,224,0.2544642857142857
Harbor multi-harness,100,opencode,17–24,22,0.18181818181818182
Harbor multi-harness,200,claude-code,0–2,1,0.0
Harbor multi-harness,200,claude-code,3–8,4,0.0
Harbor multi-harness,200,claude-code,9–16,103,0.22330097087378642
Harbor multi-harness,200,claude-code,17–24,142,0.36619718309859156
Harbor multi-harness,200,codex,0–2,1,0.0
Harbor multi-harness,200,codex,3–8,1,0.0
Harbor multi-harness,200,codex,9–16,71,0.15492957746478872
Harbor multi-harness,200,codex,17–24,177,0.3107344632768362
Harbor multi-harness,200,mini-swe-agent,3–8,6,0.3333333333333333
Harbor multi-harness,200,mini-swe-agent,9–16,38,0.5789473684210527
Harbor multi-harness,200,mini-swe-agent,17–24,206,0.10679611650485436
Harbor multi-harness,200,opencode,0–2,1,0.0
Harbor multi-harness,200,opencode,3–8,3,0.0
Harbor multi-harness,200,opencode,9–16,225,0.30666666666666664
Harbor multi-harness,200,opencode,17–24,21,0.3333333333333333
Harbor multi-harness,300,claude-code,0–2,3,0.0
Harbor multi-harness,300,claude-code,3–8,8,0.125
Harbor multi-harness,300,claude-code,9–16,84,0.2619047619047619
Harbor multi-harness,300,claude-code,17–24,155,0.3870967741935484
Harbor multi-harness,300,codex,3–8,10,0.6
Harbor multi-harness,300,codex,9–16,80,0.225
Harbor multi-harness,300,codex,17–24,160,0.3125
Harbor multi-harness,300,mini-swe-agent,3–8,9,0.7777777777777778
Harbor multi-harness,300,mini-swe-agent,9–16,28,0.5357142857142857
Harbor multi-harness,300,mini-swe-agent,17–24,213,0.15492957746478872
Harbor multi-harness,300,opencode,3–8,4,0.75
Harbor multi-harness,300,opencode,9–16,215,0.2930232558139535
Harbor multi-harness,300,opencode,17–24,31,0.25806451612903225
Harbor multi-harness,400,claude-code,0–2,2,0.0
Harbor multi-harness,400,claude-code,3–8,5,0.0
Harbor multi-harness,400,claude-code,9–16,90,0.32222222222222224
Harbor multi-harness,400,claude-code,17–24,153,0.4117647058823529
Harbor multi-harness,400,codex,3–8,3,0.3333333333333333
Harbor multi-harness,400,codex,9–16,60,0.15
Harbor multi-harness,400,codex,17–24,187,0.4117647058823529
Harbor multi-harness,400,mini-swe-agent,3–8,5,0.8
Harbor multi-harness,400,mini-swe-agent,9–16,31,0.2903225806451613
Harbor multi-harness,400,mini-swe-agent,17–24,214,0.2757009345794392
Harbor multi-harness,400,opencode,3–8,6,0.0
Harbor multi-harness,400,opencode,9–16,223,0.34080717488789236
Harbor multi-harness,400,opencode,17–24,21,0.2857142857142857
Harbor multi-harness,500,claude-code,3–8,9,0.0
Harbor multi-harness,500,claude-code,9–16,86,0.3023255813953488
Harbor multi-harness,500,claude-code,17–24,155,0.5548387096774193
Harbor multi-harness,500,codex,3–8,1,1.0
Harbor multi-harness,500,codex,9–16,72,0.2222222222222222
Harbor multi-harness,500,codex,17–24,177,0.4576271186440678
Harbor multi-harness,500,mini-swe-agent,3–8,35,0.7142857142857143
Harbor multi-harness,500,mini-swe-agent,9–16,73,0.589041095890411
Harbor multi-harness,500,mini-swe-agent,17–24,142,0.07042253521126761
Harbor multi-harness,500,opencode,3–8,8,0.0
Harbor multi-harness,500,opencode,9–16,224,0.33035714285714285
Harbor multi-harness,500,opencode,17–24,18,0.4444444444444444
Harbor multi-harness,600,claude-code,0–2,1,0.0
Harbor multi-harness,600,claude-code,3–8,7,0.0
Harbor multi-harness,600,claude-code,9–16,91,0.2087912087912088
Harbor multi-harness,600,claude-code,17–24,151,0.3708609271523179
Harbor multi-harness,600,codex,3–8,1,0.0
Harbor multi-harness,600,codex,9–16,109,0.11009174311926606
Harbor multi-harness,600,codex,17–24,140,0.4928571428571429
Harbor multi-harness,600,mini-swe-agent,3–8,23,0.7391304347826086
Harbor multi-harness,600,mini-swe-agent,9–16,107,0.45794392523364486
Harbor multi-harness,600,mini-swe-agent,17–24,120,0.09166666666666666
Harbor multi-harness,600,opencode,0–2,1,0.0
Harbor multi-harness,600,opencode,3–8,11,0.0
Harbor multi-harness,600,opencode,9–16,224,0.3482142857142857
Harbor multi-harness,600,opencode,17–24,14,0.5
Harbor multi-harness,684,claude-code,0–2,2,0.0
Harbor multi-harness,684,claude-code,3–8,13,0.38461538461538464
Harbor multi-harness,684,claude-code,9–16,80,0.2875
Harbor multi-harness,684,claude-code,17–24,155,0.3935483870967742
Harbor multi-harness,684,codex,3–8,1,0.0
Harbor multi-harness,684,codex,9–16,101,0.2079207920792079
Harbor multi-harness,684,codex,17–24,148,0.4189189189189189
Harbor multi-harness,684,mini-swe-agent,3–8,36,0.7222222222222222
Harbor multi-harness,684,mini-swe-agent,9–16,119,0.3865546218487395
Harbor multi-harness,684,mini-swe-agent,17–24,95,0.042105263157894736
Harbor multi-harness,684,opencode,0–2,1,0.0
Harbor multi-harness,684,opencode,3–8,26,0.0
Harbor multi-harness,684,opencode,9–16,202,0.31683168316831684
Harbor multi-harness,684,opencode,17–24,21,0.42857142857142855
Harbor multi-harness,700,claude-code,0–2,2,0.0
Harbor multi-harness,700,claude-code,3–8,21,0.14285714285714285
Harbor multi-harness,700,claude-code,9–16,84,0.3333333333333333
Harbor multi-harness,700,claude-code,17–24,143,0.3356643356643357
Harbor multi-harness,700,codex,3–8,2,0.0
Harbor multi-harness,700,codex,9–16,80,0.2
Harbor multi-harness,700,codex,17–24,168,0.38095238095238093
Harbor multi-harness,700,mini-swe-agent,3–8,31,0.8064516129032258
Harbor multi-harness,700,mini-swe-agent,9–16,122,0.3770491803278688
Harbor multi-harness,700,mini-swe-agent,17–24,97,0.05154639175257732
Harbor multi-harness,700,opencode,0–2,7,0.0
Harbor multi-harness,700,opencode,3–8,36,0.0
Harbor multi-harness,700,opencode,9–16,183,0.25136612021857924
Harbor multi-harness,700,opencode,17–24,24,0.2916666666666667
Harbor multi-harness,800,claude-code,0–2,2,0.0
Harbor multi-harness,800,claude-code,3–8,20,0.0
Harbor multi-harness,800,claude-code,9–16,85,0.24705882352941178
Harbor multi-harness,800,claude-code,17–24,143,0.4125874125874126
Harbor multi-harness,800,codex,9–16,168,0.2619047619047619
Harbor multi-harness,800,codex,17–24,82,0.2804878048780488
Harbor multi-harness,800,mini-swe-agent,3–8,14,0.8571428571428571
Harbor multi-harness,800,mini-swe-agent,9–16,85,0.5764705882352941
Harbor multi-harness,800,mini-swe-agent,17–24,151,0.026490066225165563
Harbor multi-harness,800,opencode,0–2,7,0.0
Harbor multi-harness,800,opencode,3–8,10,0.0
Harbor multi-harness,800,opencode,9–16,214,0.2336448598130841
Harbor multi-harness,800,opencode,17–24,19,0.42105263157894735
Harbor multi-harness,900,claude-code,0–2,5,0.0
Harbor multi-harness,900,claude-code,3–8,24,0.08333333333333333
Harbor multi-harness,900,claude-code,9–16,105,0.3047619047619048
Harbor multi-harness,900,claude-code,17–24,115,0.4956521739130435
Harbor multi-harness,900,claude-code,25+,1,0.0
Harbor multi-harness,900,codex,0–2,29,0.0
Harbor multi-harness,900,codex,3–8,115,0.034782608695652174
Harbor multi-harness,900,codex,9–16,61,0.3442622950819672
Harbor multi-harness,900,codex,17–24,45,0.5111111111111111
Harbor multi-harness,900,mini-swe-agent,3–8,42,0.7142857142857143
Harbor multi-harness,900,mini-swe-agent,9–16,161,0.3105590062111801
Harbor multi-harness,900,mini-swe-agent,17–24,47,0.0425531914893617
Harbor multi-harness,900,opencode,0–2,218,0.0
Harbor multi-harness,900,opencode,3–8,16,0.0
Harbor multi-harness,900,opencode,9–16,16,0.375
Harbor multi-harness,1000,claude-code,0–2,2,0.0
Harbor multi-harness,1000,claude-code,3–8,64,0.3125
Harbor multi-harness,1000,claude-code,9–16,126,0.4603174603174603
Harbor multi-harness,1000,claude-code,17–24,58,0.3275862068965517
Harbor multi-harness,1000,codex,0–2,34,0.0
Harbor multi-harness,1000,codex,3–8,89,0.056179775280898875
Harbor multi-harness,1000,codex,9–16,73,0.410958904109589
Harbor multi-harness,1000,codex,17–24,54,0.5
Harbor multi-harness,1000,mini-swe-agent,3–8,87,0.5977011494252874
Harbor multi-harness,1000,mini-swe-agent,9–16,137,0.27007299270072993
Harbor multi-harness,1000,mini-swe-agent,17–24,26,0.038461538461538464
Harbor multi-harness,1000,opencode,0–2,185,0.0
Harbor multi-harness,1000,opencode,3–8,30,0.1
Harbor multi-harness,1000,opencode,9–16,31,0.3225806451612903
Harbor multi-harness,1000,opencode,17–24,4,0.25
Native OpenCode,0,claude-code,0–2,3,0.0
Native OpenCode,0,claude-code,3–8,55,0.4
Native OpenCode,0,claude-code,9–16,74,0.20270270270270271
Native OpenCode,0,claude-code,17–24,116,0.04310344827586207
Native OpenCode,0,claude-code,25+,2,0.0
Native OpenCode,0,codex,3–8,27,0.4074074074074074
Native OpenCode,0,codex,9–16,71,0.323943661971831
Native OpenCode,0,codex,17–24,144,0.027777777777777776
Native OpenCode,0,codex,25+,8,0.0
Native OpenCode,0,mini-swe-agent,3–8,5,0.6
Native OpenCode,0,mini-swe-agent,9–16,70,0.5428571428571428
Native OpenCode,0,mini-swe-agent,17–24,175,0.03428571428571429
Native OpenCode,0,opencode,0–2,5,0.0
Native OpenCode,0,opencode,3–8,85,0.2823529411764706
Native OpenCode,0,opencode,9–16,119,0.05042016806722689
Native OpenCode,0,opencode,17–24,41,0.04878048780487805
Native OpenCode,100,claude-code,0–2,4,0.25
Native OpenCode,100,claude-code,3–8,81,0.4444444444444444
Native OpenCode,100,claude-code,9–16,46,0.2391304347826087
Native OpenCode,100,claude-code,17–24,116,0.02586206896551724
Native OpenCode,100,claude-code,25+,3,0.0
Native OpenCode,100,codex,0–2,1,0.0
Native OpenCode,100,codex,3–8,26,0.46153846153846156
Native OpenCode,100,codex,9–16,56,0.44642857142857145
Native OpenCode,100,codex,17–24,166,0.04819277108433735
Native OpenCode,100,codex,25+,1,0.0
Native OpenCode,100,mini-swe-agent,3–8,19,0.6842105263157895
Native OpenCode,100,mini-swe-agent,9–16,58,0.5517241379310345
Native OpenCode,100,mini-swe-agent,17–24,173,0.04046242774566474
Native OpenCode,100,opencode,0–2,1,0.0
Native OpenCode,100,opencode,3–8,101,0.39603960396039606
Native OpenCode,100,opencode,9–16,130,0.06923076923076923
Native OpenCode,100,opencode,17–24,18,0.0
Native OpenCode,200,claude-code,0–2,2,0.0
Native OpenCode,200,claude-code,3–8,88,0.5
Native OpenCode,200,claude-code,9–16,40,0.4
Native OpenCode,200,claude-code,17–24,119,0.0
Native OpenCode,200,claude-code,25+,1,0.0
Native OpenCode,200,codex,3–8,54,0.5370370370370371
Native OpenCode,200,codex,9–16,67,0.4626865671641791
Native OpenCode,200,codex,17–24,127,0.031496062992125984
Native OpenCode,200,codex,25+,2,0.0
Native OpenCode,200,mini-swe-agent,3–8,27,0.6296296296296297
Native OpenCode,200,mini-swe-agent,9–16,65,0.5076923076923077
Native OpenCode,200,mini-swe-agent,17–24,158,0.02531645569620253
Native OpenCode,200,opencode,0–2,2,0.0
Native OpenCode,200,opencode,3–8,109,0.3394495412844037
Native OpenCode,200,opencode,9–16,128,0.046875
Native OpenCode,200,opencode,17–24,11,0.0
Native OpenCode,300,claude-code,0–2,1,1.0
Native OpenCode,300,claude-code,3–8,88,0.5568181818181818
Native OpenCode,300,claude-code,9–16,54,0.4074074074074074
Native OpenCode,300,claude-code,17–24,106,0.009433962264150943
Native OpenCode,300,claude-code,25+,1,0.0
Native OpenCode,300,codex,3–8,29,0.5517241379310345
Native OpenCode,300,codex,9–16,44,0.36363636363636365
Native OpenCode,300,codex,17–24,176,0.056818181818181816
Native OpenCode,300,codex,25+,1,0.0
Native OpenCode,300,mini-swe-agent,3–8,13,0.5384615384615384
Native OpenCode,300,mini-swe-agent,9–16,65,0.6
Native OpenCode,300,mini-swe-agent,17–24,172,0.01744186046511628
Native OpenCode,300,opencode,3–8,102,0.45098039215686275
Native OpenCode,300,opencode,9–16,127,0.047244094488188976
Native OpenCode,300,opencode,17–24,21,0.0
Native OpenCode,400,claude-code,0–2,1,0.0
Native OpenCode,400,claude-code,3–8,96,0.6354166666666666
Native OpenCode,400,claude-code,9–16,39,0.46153846153846156
Native OpenCode,400,claude-code,17–24,113,0.017699115044247787
Native OpenCode,400,claude-code,25+,1,0.0
Native OpenCode,400,codex,3–8,32,0.65625
Native OpenCode,400,codex,9–16,52,0.6346153846153846
Native OpenCode,400,codex,17–24,165,0.06060606060606061
Native OpenCode,400,codex,25+,1,0.0
Native OpenCode,400,mini-swe-agent,3–8,18,0.8333333333333334
Native OpenCode,400,mini-swe-agent,9–16,86,0.5697674418604651
Native OpenCode,400,mini-swe-agent,17–24,146,0.0273972602739726
Native OpenCode,400,opencode,3–8,113,0.3805309734513274
Native OpenCode,400,opencode,9–16,119,0.06722689075630252
Native OpenCode,400,opencode,17–24,18,0.0
Native OpenCode,500,claude-code,0–2,3,0.3333333333333333
Native OpenCode,500,claude-code,3–8,92,0.532608695652174
Native OpenCode,500,claude-code,9–16,52,0.25
Native OpenCode,500,claude-code,17–24,103,0.02912621359223301
Native OpenCode,500,codex,0–2,1,0.0
Native OpenCode,500,codex,3–8,35,0.5142857142857142
Native OpenCode,500,codex,9–16,54,0.4444444444444444
Native OpenCode,500,codex,17–24,160,0.03125
Native OpenCode,500,mini-swe-agent,3–8,29,0.7931034482758621
Native OpenCode,500,mini-swe-agent,9–16,102,0.47058823529411764
Native OpenCode,500,mini-swe-agent,17–24,119,0.01680672268907563
Native OpenCode,500,opencode,0–2,1,0.0
Native OpenCode,500,opencode,3–8,119,0.31092436974789917
Native OpenCode,500,opencode,9–16,112,0.07142857142857142
Native OpenCode,500,opencode,17–24,18,0.0
Native OpenCode,600,claude-code,0–2,4,0.0
Native OpenCode,600,claude-code,3–8,108,0.5740740740740741
Native OpenCode,600,claude-code,9–16,52,0.3269230769230769
Native OpenCode,600,claude-code,17–24,86,0.023255813953488372
Native OpenCode,600,codex,3–8,42,0.6190476190476191
Native OpenCode,600,codex,9–16,50,0.32
Native OpenCode,600,codex,17–24,158,0.02531645569620253
Native OpenCode,600,mini-swe-agent,3–8,44,0.5909090909090909
Native OpenCode,600,mini-swe-agent,9–16,150,0.34
Native OpenCode,600,mini-swe-agent,17–24,56,0.08928571428571429
Native OpenCode,600,opencode,0–2,4,0.25
Native OpenCode,600,opencode,3–8,126,0.30952380952380953
Native OpenCode,600,opencode,9–16,109,0.01834862385321101
Native OpenCode,600,opencode,17–24,11,0.0
Native OpenCode,700,claude-code,0–2,6,0.0
Native OpenCode,700,claude-code,3–8,115,0.5391304347826087
Native OpenCode,700,claude-code,9–16,40,0.25
Native OpenCode,700,claude-code,17–24,89,0.02247191011235955
Native OpenCode,700,codex,3–8,20,0.6
Native OpenCode,700,codex,9–16,45,0.4222222222222222
Native OpenCode,700,codex,17–24,185,0.02702702702702703
