run,step,harness,cells,score,model_calls,tool_calls,tool_calls_median,tool_calls_p90,repeats,repeat_fraction,repeat_rollout_fraction,short_tool_fraction,budget_fraction,python_fraction,answer_path_fraction,tool_error_text_fraction,submission_fraction,submission_observations,trainable_tokens,wall_s,retry_cells,training_rows,packed_tokens
Harbor OpenCode-only,300,mini-swe-agent,250,0.236,16.208,16.164,17.0,17.0,0.652,0.04040749838396897,0.416,0.0,0.824,0.984,0.328,0.64,0.3488372093023256,86,2457.928,244.22476,1,1.076,14375.756
Harbor OpenCode-only,300,opencode,250,0.28,16.552,21.08,19.0,24.0,2.096,0.10858220362877542,0.692,0.0,0.948,0.98,0.424,0.672,0.4186046511627907,86,2913.772,284.4264,1,2.656,88801.412
Harbor OpenCode-only,400,claude-code,250,0.336,15.956,17.244,17.0,20.0,2.224,0.1318628296618753,0.628,0.008,0.848,0.96,0.512,0.732,0.5232558139534884,86,3706.02,288.30676,1,15.952,616640.776
Harbor OpenCode-only,400,codex,250,0.332,16.192,18.852,18.0,24.0,2.504,0.14037034449347674,0.672,0.0,0.84,0.98,0.5,0.66,0.5232558139534884,86,3238.676,300.32312,1,1.072,18137.108
Harbor OpenCode-only,400,mini-swe-agent,250,0.288,15.636,15.632,17.0,17.0,0.64,0.04062847936377348,0.404,0.0,0.776,0.988,0.428,0.6,0.5,86,2049.448,231.96988000000002,2,1.12,13630.868
Harbor OpenCode-only,400,opencode,250,0.356,16.864,20.944,19.0,23.099999999999994,2.736,0.12537672321606977,0.684,0.0,0.984,1.0,0.528,0.684,0.5581395348837209,86,2714.036,283.75588,1,2.816,91009.216
Harbor OpenCode-only,500,claude-code,250,0.324,15.568,16.032,17.0,19.0,1.584,0.10352479582616418,0.556,0.008,0.764,0.976,0.496,0.78,0.5348837209302325,86,4486.608,320.51367999999997,2,15.56,607378.124
Harbor OpenCode-only,500,codex,250,0.372,15.768,17.164,18.0,20.0,2.144,0.12828688929781673,0.62,0.0,0.804,0.996,0.524,0.672,0.5697674418604651,86,3544.256,311.3784,2,1.132,19307.52
Harbor OpenCode-only,500,mini-swe-agent,250,0.296,15.712,15.688,17.0,17.0,0.464,0.03036280386280386,0.34,0.0,0.748,0.992,0.396,0.632,0.45348837209302323,86,2479.62,243.41188,1,1.124,13965.672
Harbor OpenCode-only,500,opencode,250,0.328,16.74,17.972,18.0,19.0,2.076,0.11614237145580664,0.568,0.0,0.972,1.0,0.56,0.656,0.5116279069767442,86,3130.452,292.57084000000003,0,2.692,86107.564
Harbor OpenCode-only,600,claude-code,250,0.312,15.46,16.128,17.0,19.0,2.1,0.1315176920271254,0.616,0.0,0.724,0.944,0.592,0.676,0.627906976744186,86,3963.312,291.50164,0,15.452,593529.86
Harbor OpenCode-only,600,codex,250,0.344,15.844,17.608,18.0,21.0,2.616,0.1513637730010365,0.676,0.0,0.792,0.988,0.572,0.596,0.5465116279069767,86,3014.716,290.20484000000005,0,1.188,18723.596
Harbor OpenCode-only,600,mini-swe-agent,250,0.308,15.204,15.2,17.0,17.0,0.492,0.03401022457075088,0.36,0.0,0.664,0.976,0.444,0.592,0.4883720930232558,86,1631.68,240.04868,0,1.408,18290.932
Harbor OpenCode-only,600,opencode,250,0.356,16.752,19.008,19.0,21.0,3.044,0.16557076775539808,0.688,0.0,0.96,0.984,0.584,0.652,0.5813953488372093,86,1953.884,282.23591999999996,1,2.82,102552.012
Harbor OpenCode-only,700,claude-code,250,0.464,13.644,14.408,16.0,19.099999999999994,2.016,0.13538080056961474,0.636,0.004,0.484,0.988,0.716,0.692,0.7325581395348837,86,4399.992,286.99879999999996,0,13.636,505591.964
Harbor OpenCode-only,700,codex,250,0.372,13.428,16.54,17.0,23.0,1.772,0.1027915198845654,0.604,0.0,0.468,0.984,0.636,0.6,0.6976744186046512,86,2704.632,270.38576,1,1.484,21606.22
Harbor OpenCode-only,700,mini-swe-agent,250,0.344,15.264,15.372,17.0,17.0,0.552,0.036614323295698165,0.372,0.0,0.676,0.992,0.524,0.628,0.5930232558139535,86,1786.416,249.399,2,2.528,29388.456
Harbor OpenCode-only,700,opencode,250,0.4,15.468,20.16,19.0,26.0,4.028,0.2074647077959726,0.9,0.0,0.628,0.976,0.692,0.66,0.7325581395348837,86,2746.104,298.80316,1,4.812,190272.756
Harbor OpenCode-only,800,claude-code,250,0.388,12.752,12.588,13.0,17.0,0.976,0.07193511025699746,0.444,0.0,0.388,0.92,0.672,0.648,0.7441860465116279,86,4724.304,288.79735999999997,4,12.74,474807.112
Harbor OpenCode-only,800,codex,250,0.356,13.648,14.192,15.0,19.0,1.172,0.07992012584594628,0.556,0.004,0.432,0.96,0.584,0.62,0.6511627906976745,86,2506.392,264.28364,4,1.68,24492.112
Harbor OpenCode-only,800,mini-swe-agent,250,0.316,15.924,15.4,17.0,17.0,0.76,0.05157312883195236,0.436,0.0,0.74,0.984,0.508,0.592,0.5581395348837209,86,2379.072,239.972,3,4.524,48372.472
Harbor OpenCode-only,800,opencode,250,0.264,13.236,13.7,16.0,18.0,1.392,0.11581622996886155,0.764,0.04,0.492,0.836,0.536,0.548,0.5116279069767442,86,3452.292,295.78172,9,5.728,228941.352
Harbor OpenCode-only,900,claude-code,250,0.352,13.796,14.408,16.5,19.099999999999994,1.324,0.09232925935881918,0.568,0.004,0.516,0.928,0.516,0.696,0.5581395348837209,86,4797.792,323.89572000000004,0,13.784,509683.264
Harbor OpenCode-only,900,codex,250,0.272,14.192,16.332,17.0,22.0,1.532,0.0915357853779021,0.628,0.0,0.496,0.94,0.48,0.632,0.47674418604651164,86,2731.02,303.751,0,2.016,31778.196
Harbor OpenCode-only,900,mini-swe-agent,250,0.26,16.752,16.116,17.0,17.0,1.016,0.06716071771365889,0.56,0.0,0.928,0.984,0.372,0.668,0.4186046511627907,86,2291.792,263.71732000000003,2,4.244,60279.032
Harbor OpenCode-only,900,opencode,250,0.3,13.768,18.4,20.0,25.0,3.672,0.2304205386347483,0.964,0.0,0.508,0.856,0.828,0.6,0.3953488372093023,86,2722.508,282.09244,1,4.432,220613.992
Harbor OpenCode-only,1000,claude-code,250,0.308,14.284,18.888,19.0,27.0,2.564,0.12207600811203947,0.708,0.0,0.588,0.908,0.556,0.748,0.5,86,4909.94,326.24172,0,14.28,546690.0
Harbor OpenCode-only,1000,codex,250,0.324,14.164,20.392,20.0,32.0,3.024,0.1276550610578384,0.78,0.0,0.528,0.948,0.448,0.68,0.5116279069767442,86,2927.156,303.94488,0,2.136,35868.228
Harbor OpenCode-only,1000,mini-swe-agent,250,0.204,16.852,18.788,17.0,24.099999999999994,1.88,0.09276147753946476,0.692,0.0,0.956,0.952,0.288,0.668,0.26744186046511625,86,2458.74,245.79756,0,2.152,38802.564
Harbor OpenCode-only,1000,opencode,250,0.22,15.784,25.796,25.0,34.099999999999994,4.632,0.16389335394127683,0.884,0.0,0.736,0.972,0.956,0.752,0.3488372093023256,86,3317.312,298.19368,2,2.96,108702.744
Harbor multi-harness,0,claude-code,250,0.168,13.248,12.696,15.0,18.0,0.552,0.03765119948518259,0.232,0.032,0.52,0.768,0.44,0.664,0.4883720930232558,86,3510.776,306.70408000000003,4,12.9,505615.996
Harbor multi-harness,0,codex,250,0.164,14.56,14.244,17.0,19.099999999999994,0.644,0.04206620581633926,0.34,0.08,0.632,0.756,0.376,0.576,0.3953488372093023,86,3011.892,288.04967999999997,0,1.124,19415.248
Harbor multi-harness,0,mini-swe-agent,250,0.144,16.028,15.152,17.0,17.0,0.404,0.026998038725979903,0.276,0.04,0.808,0.844,0.316,0.636,0.3372093023255814,86,2479.664,227.70248,4,1.248,17148.996
Harbor multi-harness,0,opencode,250,0.108,12.76,10.964,12.5,17.099999999999994,0.488,0.03652784315559323,0.292,0.112,0.448,0.748,0.388,0.596,0.38372093023255816,86,1885.612,273.23328000000004,3,1.216,31783.472
Harbor multi-harness,100,claude-code,250,0.276,16.26,15.808,17.0,17.0,3.0,0.18587976378626533,0.652,0.008,0.876,0.78,0.504,0.632,0.5232558139534884,86,3830.668,330.60032,13,15.588,640878.472
Harbor multi-harness,100,codex,250,0.28,16.62,16.456,17.0,18.0,1.852,0.11074251513805289,0.56,0.0,0.904,0.896,0.388,0.688,0.46511627906976744,86,3349.404,320.15596,0,1.1,17822.008
Harbor multi-harness,100,mini-swe-agent,250,0.192,15.86,15.804,17.0,17.0,0.984,0.06046919126625009,0.484,0.0,0.78,0.932,0.324,0.608,0.3372093023255814,86,1925.932,211.64244,9,1.064,14148.712
Harbor multi-harness,100,opencode,250,0.244,16.624,15.684,16.0,16.0,5.24,0.3284698217846824,0.72,0.008,0.932,0.864,0.556,0.632,0.5465116279069767,86,2317.092,248.64208000000002,22,2.3,66219.656
Harbor multi-harness,200,claude-code,250,0.3,16.616,16.076,17.0,17.0,3.616,0.21978729800732763,0.68,0.004,0.908,0.892,0.488,0.672,0.4883720930232558,86,3915.984,332.44284000000005,44,15.9,626332.568
Harbor multi-harness,200,codex,250,0.264,16.828,16.548,17.0,17.0,2.108,0.12487952724949629,0.584,0.004,0.928,0.936,0.436,0.72,0.5,86,3338.936,312.86604,0,1.016,16807.012
Harbor multi-harness,200,mini-swe-agent,250,0.184,16.176,16.144,17.0,17.0,1.264,0.07661575809811104,0.552,0.0,0.848,0.864,0.288,0.584,0.313953488372093,86,1583.696,185.23776,21,1.068,13119.784
Harbor multi-harness,200,opencode,250,0.304,16.772,15.784,16.0,16.0,5.24,0.32631199567546315,0.728,0.004,0.972,0.916,0.592,0.628,0.6627906976744186,86,2137.664,240.12676000000002,11,2.188,60125.88
Harbor multi-harness,300,claude-code,250,0.332,16.24,15.936,17.0,17.099999999999994,4.148,0.25688259150550175,0.768,0.012,0.876,0.844,0.504,0.652,0.5697674418604651,86,3264.88,309.29952000000003,17,15.692,612400.22
Harbor multi-harness,300,codex,250,0.296,16.28,15.888,17.0,17.0,2.496,0.15552757522834923,0.604,0.0,0.856,0.932,0.472,0.716,0.46511627906976744,86,2760.52,294.50336,0,1.024,16410.9
Harbor multi-harness,300,mini-swe-agent,250,0.22,16.336,16.312,17.0,17.0,2.652,0.15764385189973423,0.716,0.0,0.872,0.792,0.356,0.508,0.3372093023255814,86,1409.048,182.90048000000002,4,1.032,10683.584
Harbor multi-harness,300,opencode,250,0.296,16.732,15.812,16.0,17.0,5.288,0.3330932420520656,0.764,0.0,0.936,0.812,0.652,0.56,0.7093023255813954,86,1572.264,209.03392000000002,8,2.16,58576.424
Harbor multi-harness,400,claude-code,250,0.368,16.476,15.952,17.0,17.0,3.776,0.23215647616916968,0.78,0.008,0.884,0.832,0.5,0.628,0.5581395348837209,86,3781.936,331.85516,12,15.808,645411.508
Harbor multi-harness,400,codex,250,0.348,16.764,16.5,17.0,17.0,3.636,0.21900172409290056,0.644,0.0,0.924,0.964,0.476,0.74,0.45348837209302323,86,3134.512,301.95732,0,1.032,17655.752
Harbor multi-harness,400,mini-swe-agent,250,0.288,16.552,16.476,17.0,17.0,2.652,0.15686939302527536,0.704,0.0,0.924,0.844,0.4,0.572,0.4883720930232558,86,1856.436,206.72688,7,1.076,13024.596
Harbor multi-harness,400,opencode,250,0.328,16.624,15.684,16.0,16.0,4.284,0.26981507936507937,0.664,0.0,0.92,0.836,0.52,0.596,0.5930232558139535,86,2274.428,247.216,25,2.264,66810.536
Harbor multi-harness,500,claude-code,250,0.448,16.444,16.064,17.0,17.0,4.388,0.2668000983708414,0.8,0.0,0.888,0.852,0.548,0.616,0.627906976744186,86,3942.864,327.30096000000003,16,15.888,636345.004
Harbor multi-harness,500,codex,250,0.392,16.86,16.452,17.0,17.0,3.644,0.2180356946974594,0.716,0.0,0.936,0.924,0.508,0.78,0.5581395348837209,86,3375.588,314.03576,0,1.02,17570.668
Harbor multi-harness,500,mini-swe-agent,250,0.312,14.384,14.328,17.0,17.0,0.9,0.05523096282802165,0.388,0.0,0.612,0.864,0.452,0.596,0.45348837209302323,86,1786.76,199.01392,12,1.124,13975.28
Harbor multi-harness,500,opencode,250,0.328,16.556,15.484,16.0,16.0,4.924,0.30975469367234076,0.7,0.0,0.92,0.8,0.552,0.592,0.5581395348837209,86,2375.944,261.0208,37,2.344,71243.072
Harbor multi-harness,600,claude-code,250,0.3,16.392,16.1,17.0,18.0,3.848,0.23563521318722555,0.848,0.004,0.872,0.732,0.444,0.584,0.4883720930232558,86,4780.032,350.56232,5,15.836,642993.316
Harbor multi-harness,600,codex,250,0.324,16.784,16.14,17.0,17.0,3.504,0.2106117257699301,0.736,0.0,0.872,0.928,0.472,0.672,0.5232558139534884,86,4121.492,349.44771999999995,0,1.06,18950.12
Harbor multi-harness,600,mini-swe-agent,250,0.308,14.732,14.552,16.0,17.0,1.864,0.11646161550867433,0.644,0.0,0.624,0.804,0.436,0.472,0.4883720930232558,86,1926.224,196.08360000000002,13,1.2,11305.592
Harbor multi-harness,600,opencode,250,0.34,16.308,15.012,16.0,16.0,4.816,0.3089410148674855,0.736,0.004,0.856,0.732,0.54,0.548,0.5813953488372093,86,2608.344,262.1164,65,2.536,76218.4
Harbor multi-harness,684,claude-code,250,0.356,15.964,15.64,17.0,17.0,4.424,0.28016906517974627,0.892,0.008,0.828,0.768,0.52,0.608,0.6046511627906976,86,4017.62,326.16508,10,15.504,680171.832
Harbor multi-harness,684,codex,250,0.332,16.788,16.196,17.0,17.0,4.176,0.2533938959389424,0.816,0.0,0.86,0.92,0.464,0.652,0.46511627906976744,86,3783.12,349.0168,0,1.04,18502.496
Harbor multi-harness,684,mini-swe-agent,250,0.304,13.936,13.728,16.0,17.0,2.192,0.14189798077739255,0.688,0.0,0.528,0.796,0.5,0.484,0.5348837209302325,86,1764.008,194.05316,8,1.2,12895.984
Harbor multi-harness,684,opencode,250,0.292,15.684,14.472,16.0,16.0,4.888,0.31585763321645677,0.784,0.004,0.808,0.692,0.504,0.524,0.5232558139534884,86,2016.2,234.25995999999998,47,2.268,66770.276
Harbor multi-harness,700,claude-code,250,0.316,15.704,15.412,17.0,17.099999999999994,4.228,0.2679575435228686,0.892,0.008,0.792,0.72,0.464,0.584,0.5116279069767442,86,4169.628,335.68408,5,15.192,665029.128
Harbor multi-harness,700,codex,250,0.32,16.784,16.356,17.0,17.0,4.284,0.2596398617722147,0.88,0.0,0.888,0.884,0.492,0.644,0.5348837209302325,86,3697.384,331.43440000000004,0,1.008,17985.792
Harbor multi-harness,700,mini-swe-agent,250,0.304,14.388,14.116,16.0,17.0,2.12,0.1378408680071219,0.736,0.0,0.58,0.772,0.456,0.488,0.5348837209302325,86,1896.328,201.05236,11,1.292,13888.552
Harbor multi-harness,700,opencode,250,0.212,14.888,13.704,16.0,16.0,4.064,0.2618782733606263,0.684,0.028,0.732,0.596,0.424,0.428,0.4186046511627907,86,2025.036,224.59807999999998,46,2.268,67976.364
Harbor multi-harness,800,claude-code,250,0.32,15.736,15.392,17.0,17.0,4.896,0.3106986468811546,0.912,0.008,0.796,0.688,0.416,0.612,0.46511627906976744,86,4761.008,360.24136,9,15.132,649276.748
Harbor multi-harness,800,codex,250,0.268,16.62,15.448,16.0,17.0,3.856,0.24653691700456407,0.9,0.0,0.688,0.872,0.384,0.524,0.38372093023255816,86,4708.132,423.90656,0,1.044,19406.28
Harbor multi-harness,800,mini-swe-agent,250,0.26,15.344,15.228,17.0,17.0,2.22,0.1355879032731974,0.728,0.0,0.684,0.78,0.324,0.448,0.32558139534883723,86,2640.172,239.52272,25,1.116,15126.248
Harbor multi-harness,800,opencode,250,0.232,16.016,14.768,16.0,16.0,3.736,0.23995739783092726,0.828,0.028,0.868,0.624,0.336,0.464,0.3953488372093023,86,2813.852,279.70788,73,2.508,77446.828
Harbor multi-harness,900,claude-code,250,0.364,15.512,14.936,16.0,17.0,5.904,0.3726758302861345,0.888,0.02,0.82,0.688,0.492,0.548,0.5930232558139535,86,9519.716,419.02456,34,15.492,664811.652
Harbor multi-harness,900,codex,250,0.192,9.212,8.444,7.0,17.0,1.884,0.14712137633608222,0.492,0.116,0.192,0.62,0.288,0.336,0.2441860465116279,86,3711.06,337.0398,2,1.1,14518.416
Harbor multi-harness,900,mini-swe-agent,250,0.328,13.824,12.988,14.0,17.0,1.092,0.07299727102962397,0.508,0.0,0.496,0.852,0.448,0.544,0.5,86,3963.104,307.00915999999995,110,1.112,14503.728
Harbor multi-harness,900,opencode,250,0.024,3.984,2.216,1.0,3.0,0.484,0.034528688524590165,0.068,0.872,0.06,0.056,0.048,0.048,0.046511627906976744,86,4033.72,231.61476000000002,3,2.06,51199.836
Harbor multi-harness,1000,claude-code,250,0.388,13.172,12.216,14.0,17.0,3.784,0.2879195793542543,0.864,0.008,0.476,0.688,0.532,0.58,0.5581395348837209,86,9486.256,409.62556,73,13.168,529513.164
Harbor multi-harness,1000,codex,250,0.248,10.044,9.244,9.0,17.0,2.784,0.21200627215921333,0.58,0.136,0.228,0.692,0.388,0.452,0.3372093023255814,86,4252.036,336.64468,8,1.056,14959.276
Harbor multi-harness,1000,mini-swe-agent,250,0.36,11.948,11.004,11.0,17.0,1.124,0.08019051993757875,0.424,0.0,0.304,0.832,0.564,0.484,0.627906976744186,86,3199.972,268.63016,120,1.408,13323.572
Harbor multi-harness,1000,opencode,250,0.056,5.316,3.608,1.0,16.0,1.124,0.076791380188439,0.16,0.74,0.112,0.172,0.124,0.132,0.12790697674418605,86,3889.26,202.2784,4,2.176,56658.872
Native OpenCode,0,claude-code,250,0.168,13.564,13.444,16.0,18.0,0.624,0.04410033896959594,0.304,0.012,0.544,0.78,0.432,0.684,0.4418604651162791,86,3470.204,300.24328,207,13.332,531470.596
Native OpenCode,0,codex,250,0.152,14.888,15.444,17.0,19.0,0.844,0.05171758901179685,0.444,0.0,0.684,0.756,0.372,0.592,0.4186046511627907,86,2925.184,298.26488,214,1.164,19845.676
Native OpenCode,0,mini-swe-agent,250,0.188,15.88,15.62,17.0,17.0,0.632,0.042267335932041815,0.368,0.0,0.768,0.916,0.364,0.676,0.3953488372093023,86,2504.592,217.98556,204,1.244,17376.724
Native OpenCode,0,opencode,250,0.128,12.7,11.764,14.0,17.0,0.532,0.0345529428603732,0.284,0.02,0.484,0.864,0.484,0.684,0.5116279069767442,86,1721.84,220.96564,205,1.18,34095.472
Native OpenCode,100,claude-code,250,0.204,12.648,12.48,15.0,18.0,0.58,0.03509144543406221,0.284,0.016,0.5,0.872,0.536,0.692,0.5348837209302325,86,3698.748,143.16423999999998,0,12.584,505121.256
Native OpenCode,100,codex,250,0.18,14.984,15.22,17.0,18.0,0.516,0.0335499714839573,0.352,0.004,0.66,0.884,0.404,0.692,0.4069767441860465,86,2993.728,158.66124,0,1.304,19672.46
Native OpenCode,100,mini-swe-agent,250,0.208,15.376,15.172,17.0,17.0,0.416,0.028294982794982795,0.312,0.0,0.728,0.96,0.396,0.692,0.4186046511627907,86,2541.22,90.21448,1,1.292,15771.72
Native OpenCode,100,opencode,250,0.196,12.2,10.8,12.0,16.0,0.448,0.028807029726379572,0.208,0.004,0.428,0.952,0.616,0.668,0.686046511627907,86,2149.4,144.21248,0,2.264,79437.648
Native OpenCode,200,claude-code,250,0.24,12.36,12.156,16.0,17.0,0.688,0.04049570551567456,0.256,0.008,0.488,0.944,0.556,0.736,0.6046511627906976,86,3558.216,138.13363999999999,0,12.348,472189.48
Native OpenCode,200,codex,250,0.256,13.516,13.576,17.0,18.0,0.464,0.029959747012533393,0.272,0.0,0.532,0.912,0.54,0.696,0.5697674418604651,86,2495.156,147.19407999999999,0,1.348,17961.452
Native OpenCode,200,mini-swe-agent,250,0.216,15.116,14.708,17.0,17.0,0.4,0.03000764594882242,0.272,0.0,0.692,0.96,0.464,0.692,0.5,86,2482.148,83.50396,0,1.528,16233.036
Native OpenCode,200,opencode,250,0.172,11.536,10.104,9.5,16.0,0.488,0.032465955835906224,0.228,0.008,0.4,0.976,0.636,0.712,0.6162790697674418,86,1752.28,140.38468,0,1.872,80740.084
Native OpenCode,300,claude-code,250,0.292,12.476,12.104,14.0,17.0,0.392,0.02518707996509854,0.216,0.004,0.448,0.96,0.592,0.76,0.627906976744186,86,3980.676,140.191,0,12.444,487869.28
Native OpenCode,300,codex,250,0.168,15.132,15.164,17.0,18.0,0.62,0.038108605979503815,0.392,0.0,0.72,0.912,0.372,0.696,0.29069767441860467,86,2723.488,148.16628,0,1.292,17298.944
Native OpenCode,300,mini-swe-agent,250,0.196,15.668,15.244,17.0,17.0,0.576,0.041733681677799325,0.368,0.0,0.736,0.968,0.356,0.736,0.37209302325581395,86,2633.112,85.03076,4,1.5,16793.236
Native OpenCode,300,opencode,250,0.208,12.28,10.964,14.0,16.0,0.548,0.0366129533864828,0.26,0.0,0.488,0.996,0.56,0.696,0.5465116279069767,86,2052.772,137.44495999999998,2,1.684,52509.564
Native OpenCode,400,claude-code,250,0.324,12.264,11.9,15.0,18.0,0.552,0.03280133957889376,0.224,0.004,0.484,0.948,0.544,0.772,0.6046511627906976,86,3900.464,129.74188,0,12.236,446078.456
Native OpenCode,400,codex,250,0.256,14.96,14.968,17.0,18.0,0.636,0.03993127256300631,0.368,0.0,0.684,0.96,0.42,0.716,0.4186046511627907,86,2660.132,142.42044,0,1.284,17106.884
Native OpenCode,400,mini-swe-agent,250,0.272,15.504,14.892,17.0,17.0,0.504,0.03642990179754886,0.36,0.0,0.696,0.96,0.452,0.776,0.5116279069767442,86,2719.588,81.37939999999999,0,1.716,18353.556
Native OpenCode,400,opencode,250,0.204,11.956,10.504,11.0,16.0,0.488,0.031920717517776344,0.24,0.0,0.408,0.992,0.636,0.688,0.6744186046511628,86,1866.156,124.94732,0,1.788,36467.716
Native OpenCode,500,claude-code,250,0.264,12.184,11.512,12.0,17.0,0.744,0.051082755531362344,0.332,0.012,0.456,0.964,0.56,0.716,0.6046511627906976,86,3580.768,137.15052,0,12.152,460326.656
Native OpenCode,500,codex,250,0.188,14.748,14.58,17.0,17.0,0.572,0.03571082699550192,0.344,0.004,0.656,0.96,0.384,0.64,0.3488372093023256,86,2350.368,149.06395999999998,0,1.352,17247.444
Native OpenCode,500,mini-swe-agent,250,0.292,15.336,14.256,16.0,17.0,0.468,0.03840567341155577,0.328,0.0,0.696,0.972,0.456,0.732,0.5116279069767442,86,2713.324,89.19475999999999,3,2.372,21986.98
Native OpenCode,500,opencode,250,0.18,11.376,9.896,9.0,16.0,1.536,0.10255804685510567,0.412,0.004,0.364,0.984,0.628,0.656,0.6744186046511628,86,1207.764,127.8474,0,2.268,52725.248
Native OpenCode,600,claude-code,250,0.324,11.48,10.624,9.0,17.0,0.948,0.0612672097768073,0.344,0.016,0.384,0.952,0.628,0.676,0.5930232558139535,86,3209.396,128.68632,1,11.452,434024.612
Native OpenCode,600,codex,250,0.184,14.524,14.364,17.0,17.0,1.136,0.07073384025675047,0.54,0.0,0.644,0.94,0.448,0.608,0.38372093023255816,86,2301.072,143.4634,0,1.44,17967.132
Native OpenCode,600,mini-swe-agent,250,0.328,14.712,13.14,15.0,17.0,0.696,0.061164984362043186,0.424,0.0,0.58,0.988,0.568,0.764,0.6395348837209303,86,2964.56,89.3322,5,3.12,27073.072
Native OpenCode,600,opencode,250,0.168,10.672,9.152,8.0,16.0,1.956,0.13697550782550783,0.364,0.016,0.32,0.936,0.68,0.6,0.7441860465116279,86,1417.804,123.76088,8,2.608,57619.568
Native OpenCode,700,claude-code,250,0.296,11.404,10.44,9.0,17.0,0.82,0.05602791266181359,0.296,0.024,0.376,0.916,0.704,0.724,0.6511627906976745,86,3060.304,126.11748,0,11.388,444784.676
Native OpenCode,700,codex,250,0.144,15.484,15.244,17.0,17.0,0.96,0.06026415414650709,0.444,0.0,0.764,0.988,0.384,0.62,0.32558139534883723,86,2521.796,143.21072,0,1.328,16509.94
Native OpenCode,700,mini-swe-agent,250,0.304,14.548,13.608,16.0,17.0,0.756,0.0629743749714338,0.404,0.0,0.632,0.992,0.568,0.728,0.6046511627906976,86,2763.38,90.39956,0,2.444,23490.592
Native OpenCode,700,opencode,250,0.184,9.884,8.172,6.0,16.0,0.408,0.028853829503829507,0.196,0.012,0.264,0.98,0.76,0.62,0.7906976744186046,86,1216.172,124.12552000000001,0,1.948,39104.928
Native OpenCode,800,claude-code,250,0.324,11.424,10.528,9.5,17.0,0.436,0.02966107916850951,0.228,0.02,0.332,0.96,0.712,0.736,0.7325581395348837,86,3660.24,130.67832,0,11.4,451090.5
