run,window_end,binary_reward,admitted_rollouts,unique_tasks,binary_reward_mean,completion_tokens_mean,completion_tokens_median,completion_tokens_p90,supervised_tokens,completion_tokens,text_only_turn_tokens,agent_turns_mean,tool_calls_mean,tool_calls_p90,exact_repeated_calls_mean,rollout_over4096_fraction,rollout_finish_length_fraction,training_rows,receipt_token_mismatches,text_only_turn_token_share,rows_per_rollout
Harbor multi-harness,800,0.0,321,61,0.0,3426.6417445482866,2493.0,6097.0,1099952,1099952,20586,14.077881619937695,13.962616822429906,17.0,3.6043613707165107,0.037383177570093455,0.003115264797507788,1720,0,0.018715362124892724,5.358255451713395
Harbor multi-harness,800,1.0,202,42,1.0,3323.128712871287,2503.5,6228.000000000001,671272,671272,89,14.400990099009901,14.430693069306932,17.0,5.069306930693069,0.04950495049504951,0.0,1039,0,0.00013258410897519932,5.143564356435643
Harbor multi-harness,900,0.0,297,56,0.0,9487.43771043771,6552.0,20822.400000000005,2817769,2817769,401242,12.973063973063972,12.929292929292929,17.0,2.6161616161616164,0.3164983164983165,0.06734006734006734,1609,0,0.14239705241983996,5.417508417508418
Harbor multi-harness,900,1.0,190,40,1.0,7439.3263157894735,5507.5,16235.199999999999,1413472,1413472,338,14.689473684210526,14.75263157894737,17.0,5.6947368421052635,0.26842105263157895,0.0,976,0,0.00023912748183197122,5.136842105263158
Harbor multi-harness,1000,0.0,294,56,0.0,9736.969387755102,6942.0,20111.899999999998,2862669,2862669,548463,10.214285714285714,9.982993197278912,17.0,3.183673469387755,0.3843537414965986,0.047619047619047616,1230,0,0.1915914833325124,4.183673469387755
Harbor multi-harness,1000,1.0,191,44,1.0,9084.256544502618,6725.0,19028.0,1735093,1735093,22631,13.366492146596858,13.172774869109947,17.0,5.769633507853404,0.3612565445026178,0.005235602094240838,918,0,0.01304310489408925,4.806282722513089
Native OpenCode,100,0.0,231,44,0.0,1311.090909090909,699.0,3337.0,302862,302862,7642,8.363636363636363,7.766233766233766,16.0,0.354978354978355,0.0,0.0,574,0,0.025232614193923305,2.484848484848485
Native OpenCode,100,1.0,182,38,1.0,602.0274725274726,373.5,1096.9000000000005,109569,109569,5823,5.593406593406593,4.730769230769231,9.0,0.06593406593406594,0.005494505494505495,0.0,416,0,0.05314459381759439,2.2857142857142856
Native OpenCode,200,0.0,348,51,0.0,1415.4166666666667,942.0,3478.7000000000003,492565,492565,6383,8.295977011494253,8.112068965517242,15.0,0.28160919540229884,0.0,0.0,643,0,0.012958695806644807,1.8477011494252873
Native OpenCode,200,1.0,80,19,1.0,579.625,396.5,1067.8000000000006,46370,46370,2223,5.7625,4.8625,8.100000000000009,0.025,0.0,0.0,166,0,0.04794047875781755,2.075
Native OpenCode,300,0.0,323,51,0.0,2044.108359133127,1563.0,4163.8,660247,660247,5858,10.052631578947368,9.613003095975232,16.0,0.43962848297213625,0.0,0.0,587,0,0.008872437133375842,1.8173374613003095
Native OpenCode,300,1.0,129,26,1.0,631.3410852713179,408.0,1084.6000000000001,81443,81443,3669,5.4728682170542635,4.6434108527131785,8.0,0.07751937984496124,0.0,0.0,278,0,0.04504991220853849,2.1550387596899223
Native OpenCode,400,0.0,457,67,0.0,1586.070021881838,1050.0,3408.4000000000005,724834,724834,8396,9.321663019693654,8.669584245076587,16.0,0.22319474835886213,0.002188183807439825,0.0,804,0,0.011583341841028428,1.7592997811816193
Native OpenCode,400,1.0,101,21,1.0,688.940594059406,455.0,1311.0,69583,69583,2159,6.306930693069307,5.336633663366337,9.0,0.1188118811881188,0.0,0.0,215,0,0.031027693545837346,2.128712871287129
Native OpenCode,500,0.0,393,57,0.0,1364.7328244274809,946.0,2695.6,536340,536340,5112,9.267175572519085,8.743002544529261,15.0,0.4681933842239186,0.002544529262086514,0.0,738,0,0.009531267479583846,1.8778625954198473
Native OpenCode,500,1.0,128,27,1.0,472.0703125,356.0,863.0999999999999,60425,60425,2466,5.4375,4.59375,7.0,0.0390625,0.0,0.0,259,0,0.04081092263136119,2.0234375
Native OpenCode,600,0.0,396,56,0.0,1072.871212121212,724.5,2357.5,424857,424857,1207,7.828282828282828,7.401515151515151,14.0,1.4065656565656566,0.0,0.0,1081,0,0.002840955898102185,2.7297979797979797
Native OpenCode,600,1.0,55,18,1.0,413.3636363636364,326.0,680.4,22735,22735,159,5.054545454545455,4.163636363636364,6.0,0.14545454545454545,0.0,0.0,119,0,0.006993622168462723,2.1636363636363636
Native OpenCode,700,0.0,294,48,0.0,1307.9761904761904,642.5,3257.8,384545,384545,741,7.476190476190476,6.76530612244898,14.0,0.272108843537415,0.003401360544217687,0.0,579,0,0.0019269526323317167,1.969387755102041
Native OpenCode,700,1.0,131,28,1.0,483.48091603053433,351.0,889.0,63336,63336,393,5.419847328244275,4.480916030534351,7.0,0.0916030534351145,0.0,0.0,277,0,0.006205001894657067,2.114503816793893
Native OpenCode,800,0.0,312,47,0.0,1242.4839743589744,603.5,3175.900000000002,387655,387655,770,7.4006410256410255,6.641025641025641,14.0,0.2564102564102564,0.003205128205128205,0.0,589,0,0.0019863022532922315,1.8878205128205128
Native OpenCode,800,1.0,117,21,1.0,443.1025641025641,298.0,620.6,51843,51843,351,4.982905982905983,3.982905982905983,5.400000000000006,0.02564102564102564,0.0,0.0,243,0,0.006770441525374689,2.076923076923077
Native OpenCode,900,0.0,262,42,0.0,1514.2519083969466,754.0,3885.500000000001,396734,396734,910,7.759541984732825,7.022900763358779,14.0,0.11068702290076336,0.003816793893129771,0.0,527,0,0.0022937282915000985,2.0114503816793894
Native OpenCode,900,1.0,151,27,1.0,509.94701986754967,362.0,844.0,77002,77002,471,4.973509933774834,4.086092715231788,6.0,0.006622516556291391,0.0,0.0,342,0,0.006116724240928807,2.2649006622516556
Native OpenCode,1000,0.0,325,49,0.0,1214.0553846153846,712.0,2890.2000000000007,394568,394568,1260,7.206153846153846,6.513846153846154,16.0,0.29846153846153844,0.0,0.0,1572,0,0.0031933659090448287,4.836923076923077
Native OpenCode,1000,1.0,77,18,1.0,485.76623376623377,377.0,919.0000000000003,37404,37404,328,5.090909090909091,4.103896103896104,6.0,0.03896103896103896,0.0,0.0,263,0,0.008769115602609347,3.4155844155844157
