run,harness,window_end,admitted_rollouts,unique_tasks,binary_reward_mean,completion_tokens_mean,completion_tokens_median,completion_tokens_p90,supervised_tokens,completion_tokens,text_only_turn_tokens,agent_turns_mean,tool_calls_mean,tool_calls_p90,exact_repeated_calls_mean,rollout_over4096_fraction,rollout_finish_length_fraction,training_rows,receipt_token_mismatches,text_only_turn_token_share,rows_per_rollout
Harbor multi-harness,claude-code,1000,119,17,0.3865546218487395,14147.81512605042,9810.0,25155.600000000002,1683590,1683590,345749,13.025210084033613,12.680672268907562,17.0,5.092436974789916,0.5126050420168067,0.058823529411764705,1550,0,0.20536413259760394,13.025210084033613
Harbor multi-harness,codex,100,88,11,0.48863636363636365,3284.284090909091,2609.5,6985.2,289017,289017,1466,15.113636363636363,15.056818181818182,17.0,2.3295454545454546,0.0,0.0,100,0,0.005072365985391862,1.1363636363636365
Harbor multi-harness,codex,200,136,16,0.3161764705882353,3008.904411764706,2459.0,5115.5,409211,409211,754,16.16176470588235,16.272058823529413,17.0,2.5661764705882355,0.0,0.0,151,0,0.0018425702143881762,1.1102941176470589
Harbor multi-harness,codex,300,128,16,0.34375,2766.0859375,2386.5,4706.2,354059,354059,712,16.375,16.4375,17.0,3.2265625,0.0078125,0.0,131,0,0.0020109642743158626,1.0234375
Harbor multi-harness,codex,400,128,16,0.6171875,2406.9609375,1978.0,4208.1,308091,308091,640,15.921875,15.890625,17.0,4.859375,0.0,0.0,132,0,0.0020773083277343383,1.03125
Harbor multi-harness,codex,500,128,16,0.5078125,4199.0859375,2612.0,8614.8,537483,537483,13,16.4296875,16.4375,17.0,4.5546875,0.0390625,0.0,135,0,2.418681148985177e-05,1.0546875
Harbor multi-harness,codex,600,128,16,0.625,3459.953125,2739.5,6188.999999999999,442874,442874,69,16.4296875,16.4375,17.0,4.609375,0.0078125,0.0,141,0,0.00015580052114145333,1.1015625
Harbor multi-harness,codex,700,124,16,0.41935483870967744,4493.5161290322585,3596.5,8010.300000000001,557196,557196,117,16.080645161290324,16.072580645161292,17.0,4.395161290322581,0.024193548387096774,0.0,140,0,0.00020997997114121422,1.1290322580645162
Harbor multi-harness,codex,800,118,16,0.635593220338983,4894.466101694915,3706.0,7741.899999999998,577547,577547,89,15.88135593220339,15.88135593220339,17.0,5.9491525423728815,0.07627118644067797,0.0,121,0,0.00015410001263966395,1.0254237288135593
Harbor multi-harness,codex,900,136,17,0.4852941176470588,11910.426470588236,10029.0,24055.5,1619818,1619818,174,15.308823529411764,15.345588235294118,17.0,5.198529411764706,0.3602941176470588,0.0,154,0,0.000107419475521324,1.1323529411764706
Harbor multi-harness,codex,1000,120,15,0.65,11192.558333333332,10052.5,20081.80000000001,1343107,1343107,7707,14.35,14.133333333333333,17.0,5.558333333333334,0.375,0.0,138,0,0.005738187649978743,1.15
Harbor multi-harness,mini-swe-agent,100,107,11,0.375,1999.411214953271,1722.0,3551.2000000000007,213937,213937,0,14.261682242990654,14.261682242990654,17.0,1.0934579439252337,0.0,0.0,123,0,0.0,1.1495327102803738
Harbor multi-harness,mini-swe-agent,200,134,16,0.1791044776119403,1702.1119402985075,1255.5,3141.4,228083,228083,0,14.962686567164178,14.962686567164178,17.0,1.507462686567164,0.0,0.0,142,0,0.0,1.0597014925373134
Harbor multi-harness,mini-swe-agent,300,112,14,0.3063063063063063,1540.607142857143,1230.0,2424.0,172548,172548,0,15.464285714285714,15.464285714285714,17.0,2.3214285714285716,0.0,0.0,120,0,0.0,1.0714285714285714
Harbor multi-harness,mini-swe-agent,400,144,18,0.3006993006993007,1901.6041666666667,1262.0,3841.000000000006,273831,273831,0,15.36111111111111,15.36111111111111,17.0,2.798611111111111,0.0,0.0,153,0,0.0,1.0625
Harbor multi-harness,mini-swe-agent,500,130,17,0.36923076923076925,1602.7615384615385,1377.5,2364.7000000000003,208359,208359,0,15.107692307692307,15.107692307692307,17.0,2.6076923076923078,0.007692307692307693,0.0,143,0,0.0,1.1
Harbor multi-harness,mini-swe-agent,600,134,17,0.43283582089552236,1897.955223880597,1659.5,3196.5,254326,254326,0,12.761194029850746,12.761194029850746,17.0,0.8507462686567164,0.0,0.0,151,0,0.0,1.126865671641791
Harbor multi-harness,mini-swe-agent,700,136,17,0.45588235294117646,1323.7794117647059,1026.5,2662.5,180034,180034,0,11.794117647058824,11.794117647058824,17.0,1.8235294117647058,0.0,0.0,152,0,0.0,1.1176470588235294
Harbor multi-harness,mini-swe-agent,800,134,17,0.417910447761194,1903.4626865671642,1504.5,4014.8,255064,255064,56,11.888059701492537,11.880597014925373,16.0,1.4701492537313432,0.007462686567164179,0.0,181,0,0.00021955273970454474,1.3507462686567164
Harbor multi-harness,mini-swe-agent,900,112,14,0.41964285714285715,4311.580357142857,2825.0,8690.40000000001,482897,482897,0,12.508928571428571,12.508928571428571,17.0,1.6607142857142858,0.10714285714285714,0.0,120,0,0.0,1.0714285714285714
Harbor multi-harness,mini-swe-agent,1000,128,16,0.359375,7110.0234375,4868.5,15039.199999999999,910083,910083,0,10.3671875,10.3671875,15.299999999999997,1.4921875,0.2421875,0.0,198,0,0.0,1.546875
Harbor multi-harness,opencode,100,115,12,0.46956521739130436,1707.304347826087,1066.0,3837.8,196340,196340,972,12.982608695652173,12.747826086956522,16.0,3.8,0.0,0.0,257,0,0.004950595905062647,2.234782608695652
Harbor multi-harness,opencode,200,120,15,0.44166666666666665,2073.9666666666667,1522.5,4272.4000000000015,248876,248876,68,15.475,15.458333333333334,16.0,6.583333333333333,0.008333333333333333,0.0,263,0,0.00027322843504395765,2.191666666666667
Harbor multi-harness,opencode,300,136,17,0.2,1823.4485294117646,1494.5,3136.5,247989,247989,181,15.397058823529411,15.375,16.0,4.801470588235294,0.0,0.0,299,0,0.0007298710829915843,2.198529411764706
Harbor multi-harness,opencode,400,130,17,0.23846153846153847,1878.576923076923,1350.0,3450.4000000000015,244215,244215,47,15.176923076923076,15.169230769230769,16.0,4.915384615384616,0.007692307692307693,0.0,278,0,0.000192453371005057,2.1384615384615384
Harbor multi-harness,opencode,500,134,17,0.3283582089552239,2582.7985074626868,2016.5,4391.3,346095,346095,354,14.791044776119403,14.82089552238806,16.0,5.723880597014926,0.022388059701492536,0.0,320,0,0.0010228405495600918,2.388059701492537
Harbor multi-harness,opencode,600,135,17,0.362962962962963,2741.7185185185185,1759.0,6205.000000000002,370132,370132,25316,13.985185185185186,13.955555555555556,16.0,7.066666666666666,0.05185185185185185,0.007407407407407408,333,0,0.06839722045108232,2.466666666666667
Harbor multi-harness,opencode,700,121,16,0.35537190082644626,3174.4793388429753,2215.0,5755.0,384112,384112,56298,14.462809917355372,14.47107438016529,16.0,5.892561983471074,0.0743801652892562,0.024793388429752067,284,0,0.14656662640063314,2.347107438016529
Harbor multi-harness,opencode,800,143,18,0.13986013986013987,2365.5524475524476,1940.0,4867.799999999999,338274,338274,19675,12.748251748251748,12.482517482517483,16.0,3.6153846153846154,0.03496503496503497,0.006993006993006993,319,0,0.05816290935750309,2.230769230769231
Harbor multi-harness,opencode,900,113,15,0.25663716814159293,6644.8938053097345,5180.0,16415.0,750873,750873,335070,9.761061946902656,9.584070796460177,16.0,3.274336283185841,0.4247787610619469,0.1415929203539823,253,0,0.4462405759695714,2.2389380530973453
Harbor multi-harness,opencode,1000,118,16,0.17796610169491525,5601.542372881356,1893.0,16330.0,660982,660982,217638,8.110169491525424,7.788135593220339,16.0,4.864406779661017,0.3813559322033898,0.06779661016949153,262,0,0.32926463958171326,2.2203389830508473
Native OpenCode,opencode,100,413,52,0.4406779661016949,998.6222760290557,483.0,2787.8,412431,412431,13465,7.142857142857143,6.428571428571429,14.800000000000011,0.22760290556900725,0.002421307506053269,0.0,990,0,0.032647885343245295,2.3970944309927362
Native OpenCode,opencode,200,428,55,0.18691588785046728,1259.193925233645,710.5,3299.6,538935,538935,8606,7.822429906542056,7.5046728971962615,15.0,0.2336448598130841,0.0,0.0,809,0,0.015968530527800198,1.8901869158878504
Native OpenCode,opencode,300,453,58,0.2853982300884956,1642.3841059602648,1004.0,3866.0,744000,744000,9527,8.754966887417218,8.205298013245033,15.0,0.33774834437086093,0.0,0.0,866,0,0.01280510752688172,1.9116997792494481
Native OpenCode,opencode,400,558,71,0.18100358422939067,1423.6863799283153,875.5,3166.5,794417,794417,10555,8.775985663082437,8.0663082437276,15.0,0.20430107526881722,0.0017921146953405018,0.0,1019,0,0.013286472973262154,1.8261648745519714
Native OpenCode,opencode,500,521,66,0.2456813819577735,1145.42226487524,743.0,2489.0,596765,596765,7578,8.326295585412668,7.723608445297505,15.0,0.362763915547025,0.0019193857965451055,0.0,997,0,0.012698465895285414,1.9136276391554703
Native OpenCode,opencode,600,451,57,0.12195121951219512,992.4434589800444,639.0,2268.0,447592,447592,1366,7.490022172949002,7.006651884700665,13.0,1.252771618625277,0.0,0.0,1200,0,0.0030518865395270695,2.6607538802660753
Native OpenCode,opencode,700,425,54,0.30823529411764705,1053.8376470588234,504.0,2649.6000000000026,447881,447881,1134,6.842352941176471,6.061176470588236,13.0,0.2164705882352941,0.002352941176470588,0.0,856,0,0.002531922541925199,2.0141176470588236
Native OpenCode,opencode,800,429,54,0.2727272727272727,1024.4708624708624,453.0,2760.1999999999994,439498,439498,1121,6.741258741258742,5.916083916083916,13.0,0.19347319347319347,0.002331002331002331,0.0,832,0,0.002550637318031026,1.9393939393939394
Native OpenCode,opencode,900,413,53,0.36561743341404357,1147.0605326876514,508.0,2972.2000000000003,473736,473736,1381,6.7409200968523,5.9491525423728815,13.0,0.07263922518159806,0.002421307506053269,0.0,869,0,0.0029151257240319505,2.1041162227602905
Native OpenCode,opencode,1000,402,53,0.19154228855721392,1074.5572139303483,636.5,2226.4000000000005,431972,431972,1588,6.800995024875622,6.052238805970149,13.0,0.24875621890547264,0.0,0.0,1835,0,0.0036761641958275074,4.564676616915423
