run,checkpoint,harness,difficulty,correct,graded,pass_at_1
Harbor multi-harness,500,claude-code,easy,25,33,0.7575757575757576
Harbor multi-harness,500,claude-code,medium,62,118,0.5254237288135594
Harbor multi-harness,500,claude-code,hard,25,99,0.25252525252525254
Harbor multi-harness,500,codex,easy,25,33,0.7575757575757576
Harbor multi-harness,500,codex,medium,55,118,0.4661016949152542
Harbor multi-harness,500,codex,hard,18,99,0.18181818181818182
Harbor multi-harness,500,mini-swe-agent,easy,23,33,0.696969696969697
Harbor multi-harness,500,mini-swe-agent,medium,44,118,0.3728813559322034
Harbor multi-harness,500,mini-swe-agent,hard,11,99,0.1111111111111111
Harbor multi-harness,600,opencode,easy,22,33,0.6666666666666666
Harbor multi-harness,600,opencode,medium,49,118,0.4152542372881356
Harbor multi-harness,600,opencode,hard,14,99,0.1414141414141414
Harbor multi-harness,600,claude-code,easy,24,33,0.7272727272727273
Harbor multi-harness,600,claude-code,medium,40,118,0.3389830508474576
Harbor multi-harness,600,claude-code,hard,11,99,0.1111111111111111
Harbor multi-harness,600,codex,easy,22,33,0.6666666666666666
Harbor multi-harness,600,codex,medium,47,118,0.3983050847457627
Harbor multi-harness,600,codex,hard,12,99,0.12121212121212122
Harbor multi-harness,600,mini-swe-agent,easy,28,33,0.8484848484848485
Harbor multi-harness,600,mini-swe-agent,medium,40,118,0.3389830508474576
Harbor multi-harness,600,mini-swe-agent,hard,9,99,0.09090909090909091
Harbor multi-harness,684,opencode,easy,24,33,0.7272727272727273
Harbor multi-harness,684,opencode,medium,36,118,0.3050847457627119
Harbor multi-harness,684,opencode,hard,13,99,0.13131313131313133
Harbor multi-harness,684,claude-code,easy,24,33,0.7272727272727273
Harbor multi-harness,684,claude-code,medium,49,118,0.4152542372881356
Harbor multi-harness,684,claude-code,hard,16,99,0.16161616161616163
Harbor multi-harness,684,codex,easy,28,33,0.8484848484848485
Harbor multi-harness,684,codex,medium,43,118,0.3644067796610169
Harbor multi-harness,684,codex,hard,12,99,0.12121212121212122
Harbor multi-harness,684,mini-swe-agent,easy,24,33,0.7272727272727273
Harbor multi-harness,684,mini-swe-agent,medium,41,118,0.3474576271186441
Harbor multi-harness,684,mini-swe-agent,hard,11,99,0.1111111111111111
Harbor multi-harness,700,opencode,easy,10,33,0.30303030303030304
Harbor multi-harness,700,opencode,medium,33,118,0.2796610169491525
Harbor multi-harness,700,opencode,hard,10,99,0.10101010101010101
Harbor multi-harness,700,claude-code,easy,26,33,0.7878787878787878
Harbor multi-harness,700,claude-code,medium,41,118,0.3474576271186441
Harbor multi-harness,700,claude-code,hard,12,99,0.12121212121212122
Harbor multi-harness,700,codex,easy,24,33,0.7272727272727273
Harbor multi-harness,700,codex,medium,41,118,0.3474576271186441
Harbor multi-harness,700,codex,hard,15,99,0.15151515151515152
Harbor multi-harness,700,mini-swe-agent,easy,20,33,0.6060606060606061
Harbor multi-harness,700,mini-swe-agent,medium,45,118,0.3813559322033898
Harbor multi-harness,700,mini-swe-agent,hard,11,99,0.1111111111111111
Harbor multi-harness,800,opencode,easy,12,33,0.36363636363636365
Harbor multi-harness,800,opencode,medium,39,118,0.3305084745762712
Harbor multi-harness,800,opencode,hard,7,99,0.0707070707070707
Harbor multi-harness,800,claude-code,easy,22,33,0.6666666666666666
Harbor multi-harness,800,claude-code,medium,44,118,0.3728813559322034
Harbor multi-harness,800,claude-code,hard,14,99,0.1414141414141414
Harbor multi-harness,800,codex,easy,22,33,0.6666666666666666
Harbor multi-harness,800,codex,medium,37,118,0.3135593220338983
Harbor multi-harness,800,codex,hard,8,99,0.08080808080808081
Harbor multi-harness,800,mini-swe-agent,easy,22,33,0.6666666666666666
Harbor multi-harness,800,mini-swe-agent,medium,34,118,0.288135593220339
Harbor multi-harness,800,mini-swe-agent,hard,9,99,0.09090909090909091
Native OpenCode,0,opencode,easy,8,33,0.24242424242424243
Native OpenCode,0,opencode,medium,20,118,0.1694915254237288
Native OpenCode,0,opencode,hard,4,99,0.04040404040404041
Native OpenCode,0,claude-code,easy,14,33,0.42424242424242425
Native OpenCode,0,claude-code,medium,22,118,0.1864406779661017
Native OpenCode,0,claude-code,hard,6,99,0.06060606060606061
Native OpenCode,0,codex,easy,11,33,0.3333333333333333
Native OpenCode,0,codex,medium,20,118,0.1694915254237288
Native OpenCode,0,codex,hard,7,99,0.0707070707070707
Native OpenCode,0,mini-swe-agent,easy,17,33,0.5151515151515151
Native OpenCode,0,mini-swe-agent,medium,23,118,0.19491525423728814
Native OpenCode,0,mini-swe-agent,hard,7,99,0.0707070707070707
Native OpenCode,100,opencode,easy,14,33,0.42424242424242425
Native OpenCode,100,opencode,medium,29,118,0.2457627118644068
Native OpenCode,100,opencode,hard,6,99,0.06060606060606061
Native OpenCode,100,claude-code,easy,14,33,0.42424242424242425
Native OpenCode,100,claude-code,medium,27,118,0.2288135593220339
Native OpenCode,100,claude-code,hard,10,99,0.10101010101010101
Native OpenCode,100,codex,easy,9,33,0.2727272727272727
Native OpenCode,100,codex,medium,25,118,0.211864406779661
Native OpenCode,100,codex,hard,11,99,0.1111111111111111
Native OpenCode,100,mini-swe-agent,easy,22,33,0.6666666666666666
Native OpenCode,100,mini-swe-agent,medium,25,118,0.211864406779661
Native OpenCode,100,mini-swe-agent,hard,5,99,0.050505050505050504
Native OpenCode,200,opencode,easy,16,33,0.48484848484848486
Native OpenCode,200,opencode,medium,25,118,0.211864406779661
Native OpenCode,200,opencode,hard,2,99,0.020202020202020204
Native OpenCode,200,claude-code,easy,20,33,0.6060606060606061
Native OpenCode,200,claude-code,medium,31,118,0.2627118644067797
Native OpenCode,200,claude-code,hard,9,99,0.09090909090909091
Native OpenCode,200,codex,easy,21,33,0.6363636363636364
Native OpenCode,200,codex,medium,34,118,0.288135593220339
Native OpenCode,200,codex,hard,9,99,0.09090909090909091
Native OpenCode,200,mini-swe-agent,easy,22,33,0.6666666666666666
Native OpenCode,200,mini-swe-agent,medium,26,118,0.22033898305084745
Native OpenCode,200,mini-swe-agent,hard,6,99,0.06060606060606061
Native OpenCode,300,opencode,easy,16,33,0.48484848484848486
Native OpenCode,300,opencode,medium,33,118,0.2796610169491525
Native OpenCode,300,opencode,hard,3,99,0.030303030303030304
Native OpenCode,300,claude-code,easy,22,33,0.6666666666666666
Native OpenCode,300,claude-code,medium,36,118,0.3050847457627119
Native OpenCode,300,claude-code,hard,15,99,0.15151515151515152
Native OpenCode,300,codex,easy,13,33,0.3939393939393939
Native OpenCode,300,codex,medium,24,118,0.2033898305084746
Native OpenCode,300,codex,hard,5,99,0.050505050505050504
Native OpenCode,300,mini-swe-agent,easy,17,33,0.5151515151515151
Native OpenCode,300,mini-swe-agent,medium,28,118,0.23728813559322035
Native OpenCode,300,mini-swe-agent,hard,4,99,0.04040404040404041
Native OpenCode,400,opencode,easy,16,33,0.48484848484848486
Native OpenCode,400,opencode,medium,29,118,0.2457627118644068
Native OpenCode,400,opencode,hard,6,99,0.06060606060606061
Native OpenCode,400,claude-code,easy,20,33,0.6060606060606061
Native OpenCode,400,claude-code,medium,42,118,0.3559322033898305
Native OpenCode,400,claude-code,hard,19,99,0.1919191919191919
Native OpenCode,400,codex,easy,19,33,0.5757575757575758
Native OpenCode,400,codex,medium,33,118,0.2796610169491525
Native OpenCode,400,codex,hard,12,99,0.12121212121212122
Native OpenCode,400,mini-swe-agent,easy,23,33,0.696969696969697
Native OpenCode,400,mini-swe-agent,medium,35,118,0.2966101694915254
Native OpenCode,400,mini-swe-agent,hard,10,99,0.10101010101010101
Native OpenCode,500,opencode,easy,16,33,0.48484848484848486
Native OpenCode,500,opencode,medium,23,118,0.19491525423728814
Native OpenCode,500,opencode,hard,6,99,0.06060606060606061
Native OpenCode,500,claude-code,easy,17,33,0.5151515151515151
Native OpenCode,500,claude-code,medium,39,118,0.3305084745762712
Native OpenCode,500,claude-code,hard,10,99,0.10101010101010101
Native OpenCode,500,codex,easy,16,33,0.48484848484848486
Native OpenCode,500,codex,medium,26,118,0.22033898305084745
Native OpenCode,500,codex,hard,5,99,0.050505050505050504
Native OpenCode,500,mini-swe-agent,easy,21,33,0.6363636363636364
Native OpenCode,500,mini-swe-agent,medium,41,118,0.3474576271186441
Native OpenCode,500,mini-swe-agent,hard,11,99,0.1111111111111111
Native OpenCode,600,opencode,easy,14,33,0.42424242424242425
Native OpenCode,600,opencode,medium,22,118,0.1864406779661017
Native OpenCode,600,opencode,hard,6,99,0.06060606060606061
Native OpenCode,600,claude-code,easy,21,33,0.6363636363636364
Native OpenCode,600,claude-code,medium,44,118,0.3728813559322034
Native OpenCode,600,claude-code,hard,16,99,0.16161616161616163
Native OpenCode,600,codex,easy,15,33,0.45454545454545453
Native OpenCode,600,codex,medium,28,118,0.23728813559322035
Native OpenCode,600,codex,hard,3,99,0.030303030303030304
Native OpenCode,600,mini-swe-agent,easy,24,33,0.7272727272727273
Native OpenCode,600,mini-swe-agent,medium,42,118,0.3559322033898305
Native OpenCode,600,mini-swe-agent,hard,16,99,0.16161616161616163
Native OpenCode,700,opencode,easy,14,33,0.42424242424242425
Native OpenCode,700,opencode,medium,28,118,0.23728813559322035
Native OpenCode,700,opencode,hard,4,99,0.04040404040404041
Native OpenCode,700,claude-code,easy,21,33,0.6363636363636364
Native OpenCode,700,claude-code,medium,39,118,0.3305084745762712
Native OpenCode,700,claude-code,hard,14,99,0.1414141414141414
Native OpenCode,700,codex,easy,8,33,0.24242424242424243
Native OpenCode,700,codex,medium,27,118,0.2288135593220339
Native OpenCode,700,codex,hard,1,99,0.010101010101010102
Native OpenCode,700,mini-swe-agent,easy,22,33,0.6666666666666666
Native OpenCode,700,mini-swe-agent,medium,42,118,0.3559322033898305
Native OpenCode,700,mini-swe-agent,hard,12,99,0.12121212121212122
Native OpenCode,800,opencode,easy,12,33,0.36363636363636365
Native OpenCode,800,opencode,medium,31,118,0.2627118644067797
Native OpenCode,800,opencode,hard,7,99,0.0707070707070707
Native OpenCode,800,claude-code,easy,24,33,0.7272727272727273
Native OpenCode,800,claude-code,medium,42,118,0.3559322033898305
Native OpenCode,800,claude-code,hard,15,99,0.15151515151515152
Native OpenCode,800,codex,easy,10,33,0.30303030303030304
Native OpenCode,800,codex,medium,25,118,0.211864406779661
Native OpenCode,800,codex,hard,10,99,0.10101010101010101
Native OpenCode,800,mini-swe-agent,easy,23,33,0.696969696969697
Native OpenCode,800,mini-swe-agent,medium,42,118,0.3559322033898305
Native OpenCode,800,mini-swe-agent,hard,15,99,0.15151515151515152
Native OpenCode,900,opencode,easy,11,33,0.3333333333333333
Native OpenCode,900,opencode,medium,28,118,0.23728813559322035
Native OpenCode,900,opencode,hard,8,99,0.08080808080808081
Native OpenCode,900,claude-code,easy,20,33,0.6060606060606061
Native OpenCode,900,claude-code,medium,50,118,0.423728813559322
Native OpenCode,900,claude-code,hard,15,99,0.15151515151515152
Native OpenCode,900,codex,easy,9,33,0.2727272727272727
Native OpenCode,900,codex,medium,21,118,0.17796610169491525
Native OpenCode,900,codex,hard,6,99,0.06060606060606061
Native OpenCode,900,mini-swe-agent,easy,26,33,0.7878787878787878
Native OpenCode,900,mini-swe-agent,medium,44,118,0.3728813559322034
Native OpenCode,900,mini-swe-agent,hard,15,99,0.15151515151515152
Native OpenCode,1000,opencode,easy,14,33,0.42424242424242425
Native OpenCode,1000,opencode,medium,30,118,0.2542372881355932
Native OpenCode,1000,opencode,hard,7,99,0.0707070707070707
Native OpenCode,1000,claude-code,easy,22,33,0.6666666666666666
Native OpenCode,1000,claude-code,medium,44,118,0.3728813559322034
Native OpenCode,1000,claude-code,hard,17,99,0.1717171717171717
Native OpenCode,1000,codex,easy,19,33,0.5757575757575758
Native OpenCode,1000,codex,medium,42,118,0.3559322033898305
Native OpenCode,1000,codex,hard,13,99,0.13131313131313133
Native OpenCode,1000,mini-swe-agent,easy,24,33,0.7272727272727273
Native OpenCode,1000,mini-swe-agent,medium,53,118,0.4491525423728814
Native OpenCode,1000,mini-swe-agent,hard,13,99,0.13131313131313133
Harbor OpenCode-only,0,opencode,easy,11,33,0.3333333333333333
Harbor OpenCode-only,0,opencode,medium,10,118,0.0847457627118644
Harbor OpenCode-only,0,opencode,hard,6,99,0.06060606060606061
Harbor OpenCode-only,0,claude-code,easy,14,33,0.42424242424242425
Harbor OpenCode-only,0,claude-code,medium,22,118,0.1864406779661017
Harbor OpenCode-only,0,claude-code,hard,6,99,0.06060606060606061
Harbor OpenCode-only,0,codex,easy,14,33,0.42424242424242425
Harbor OpenCode-only,0,codex,medium,20,118,0.1694915254237288
Harbor OpenCode-only,0,codex,hard,7,99,0.0707070707070707
Harbor OpenCode-only,0,mini-swe-agent,easy,14,33,0.42424242424242425
Harbor OpenCode-only,0,mini-swe-agent,medium,16,118,0.13559322033898305
Harbor OpenCode-only,0,mini-swe-agent,hard,6,99,0.06060606060606061
